SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
63MOONS,EQ,50.2,55.0,49.45,53.0,53.0,50.8,115726,20-MAR-2020
63MOONS,EQ,55.0,55.1,49.45,50.8,50.1,56.4,111235,19-MAR-2020
63MOONS,EQ,61.95,63.6,55.0,56.4,56.5,61.5,87402,18-MAR-2020
63MOONS,EQ,62.2,64.8,60.2,61.5,60.45,63.0,54201,17-MAR-2020
63MOONS,EQ,62.0,65.7,60.8,63.0,63.45,63.55,101652,16-MAR-2020
63MOONS,EQ,63.0,75.0,55.85,63.55,64.65,69.8,292325,13-MAR-2020
63MOONS,EQ,74.65,74.65,67.1,69.8,69.0,76.05,191318,12-MAR-2020
63MOONS,EQ,78.95,82.0,76.0,76.05,76.15,77.75,103167,11-MAR-2020
63MOONS,EQ,82.0,82.0,76.45,77.75,78.0,83.2,89230,09-MAR-2020
63MOONS,EQ,78.25,86.1,78.25,83.2,83.2,88.7,83205,06-MAR-2020
63MOONS,EQ,89.0,91.7,88.6,88.7,88.75,88.7,70818,05-MAR-2020
63MOONS,EQ,91.0,92.0,87.5,88.7,88.65,90.4,70991,04-MAR-2020
63MOONS,EQ,88.45,91.25,88.0,90.4,90.15,87.95,67249,03-MAR-2020
63MOONS,EQ,89.2,94.7,86.05,87.95,87.0,88.7,107060,02-MAR-2020
63MOONS,EQ,92.0,92.25,88.1,88.7,88.3,93.8,71246,28-FEB-2020
63MOONS,EQ,94.2,95.25,93.25,93.8,93.55,94.25,65696,27-FEB-2020
63MOONS,EQ,93.5,98.1,93.15,94.25,94.1,94.85,95532,26-FEB-2020
63MOONS,EQ,98.4,99.0,94.1,94.85,94.65,97.35,144384,25-FEB-2020
63MOONS,EQ,100.0,100.2,97.1,97.35,97.85,100.8,111386,24-FEB-2020
63MOONS,EQ,102.15,103.45,100.1,100.8,100.4,101.8,102902,20-FEB-2020
63MOONS,EQ,102.55,104.1,101.6,101.8,101.85,101.7,101609,19-FEB-2020
63MOONS,EQ,102.0,105.0,101.2,101.7,101.75,102.15,111757,18-FEB-2020
63MOONS,EQ,102.8,105.35,101.35,102.15,102.55,102.45,156985,17-FEB-2020
63MOONS,EQ,103.0,106.6,101.85,102.45,103.0,102.5,150900,14-FEB-2020
63MOONS,EQ,102.4,103.9,102.0,102.5,102.3,103.2,71209,13-FEB-2020
63MOONS,EQ,104.1,106.35,102.7,103.2,103.2,103.6,102486,12-FEB-2020
63MOONS,EQ,101.8,111.35,100.5,103.6,103.0,101.8,396379,11-FEB-2020
63MOONS,EQ,101.0,103.75,101.0,101.8,101.9,104.35,78878,10-FEB-2020
