SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ABSLRIF6RG,MF,4.65,4.85,4.65,4.85,4.85,4.95,15500,20-MAR-2020
ABSLRIF6RG,MF,4.9,4.95,4.9,4.95,4.95,5.33,7000,19-MAR-2020
ABSLRIF6RG,MF,5.06,5.33,5.05,5.33,5.33,5.41,59000,18-MAR-2020
ABSLRIF6RG,MF,5.1,5.51,5.1,5.41,5.41,5.25,15500,17-MAR-2020
ABSLRIF6RG,MF,5.1,5.25,5.1,5.25,5.25,5.03,16450,16-MAR-2020
ABSLRIF6RG,MF,5.03,5.03,5.03,5.03,5.03,5.58,2500,13-MAR-2020
ABSLRIF6RG,MF,5.58,5.58,5.58,5.58,5.58,6.2,5000,09-MAR-2020
ABSLRIF6RG,MF,6.2,6.2,6.2,6.2,6.2,5.91,10000,06-MAR-2020
ABSLRIF6RG,MF,6.56,6.56,5.91,5.91,5.91,6.5,10000,05-MAR-2020
ABSLRIF6RG,MF,6.85,6.85,6.5,6.5,6.5,7.09,10000,02-MAR-2020
ABSLRIF6RG,MF,7.09,7.1,7.09,7.09,7.1,7.1,5000,27-FEB-2020
ABSLRIF6RG,MF,7.01,7.1,7.01,7.1,7.1,7.28,4200,25-FEB-2020
ABSLRIF6RG,MF,7.3,7.3,7.26,7.28,7.28,7.25,2860,19-FEB-2020
ABSLRIF6RG,MF,7.2,7.25,7.2,7.25,7.25,7.2,3720,18-FEB-2020
ABSLRIF6RG,MF,7.2,7.2,7.2,7.2,7.2,7.3,5000,10-FEB-2020
