SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ADANIENT,EQ,138.0,141.6,128.7,137.7,138.75,128.9,4496401,20-MAR-2020
ADANIENT,EQ,121.0,132.95,118.2,128.9,130.0,130.2,5517080,19-MAR-2020
ADANIENT,EQ,135.9,137.0,127.1,130.2,132.5,133.4,4255688,18-MAR-2020
ADANIENT,EQ,135.7,142.55,130.5,133.4,134.5,134.7,6388062,17-MAR-2020
ADANIENT,EQ,141.0,142.3,128.65,134.7,135.8,148.75,6582849,16-MAR-2020
ADANIENT,EQ,145.95,161.35,129.75,148.75,150.3,162.15,7463676,13-MAR-2020
ADANIENT,EQ,180.1,183.9,160.45,162.15,161.25,195.75,4834390,12-MAR-2020
ADANIENT,EQ,197.4,205.0,192.25,195.75,192.55,199.7,3763191,11-MAR-2020
ADANIENT,EQ,207.0,208.5,197.25,199.7,198.85,214.75,2763989,09-MAR-2020
ADANIENT,EQ,215.1,216.75,207.5,214.75,212.0,221.75,4375226,06-MAR-2020
ADANIENT,EQ,223.75,226.85,219.35,221.75,221.0,221.1,3159080,05-MAR-2020
ADANIENT,EQ,226.1,227.0,213.55,221.1,222.7,225.75,5216787,04-MAR-2020
ADANIENT,EQ,221.0,228.65,219.25,225.75,224.95,218.6,2992170,03-MAR-2020
ADANIENT,EQ,223.0,226.7,216.15,218.6,218.0,218.65,3162614,02-MAR-2020
ADANIENT,EQ,221.0,226.8,217.0,218.65,217.5,234.15,3364181,28-FEB-2020
ADANIENT,EQ,241.45,241.45,232.05,234.15,232.5,242.8,3568055,27-FEB-2020
ADANIENT,EQ,244.0,246.3,241.0,242.8,241.4,246.45,2897390,26-FEB-2020
ADANIENT,EQ,249.8,251.75,242.4,246.45,246.25,247.25,3309962,25-FEB-2020
ADANIENT,EQ,254.8,255.85,244.1,247.25,244.95,258.65,3309214,24-FEB-2020
ADANIENT,EQ,253.2,261.0,252.65,258.65,257.7,254.0,3108173,20-FEB-2020
ADANIENT,EQ,250.0,255.5,249.9,254.0,252.85,249.45,2101729,19-FEB-2020
ADANIENT,EQ,251.65,251.65,245.25,249.45,248.9,252.5,2430446,18-FEB-2020
ADANIENT,EQ,256.9,257.4,251.65,252.5,252.6,256.15,2411524,17-FEB-2020
ADANIENT,EQ,252.5,258.6,251.55,256.15,255.95,251.45,4968325,14-FEB-2020
ADANIENT,EQ,249.8,252.75,248.25,251.45,251.0,249.7,2563148,13-FEB-2020
ADANIENT,EQ,245.9,251.4,245.0,249.7,248.75,245.3,4490312,12-FEB-2020
ADANIENT,EQ,245.2,248.6,243.65,245.3,244.5,244.5,3533751,11-FEB-2020
ADANIENT,EQ,239.5,245.15,237.55,244.5,243.7,239.5,5588211,10-FEB-2020
