SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ADHUNIKIND,EQ,17.15,17.15,17.15,17.15,17.15,18.05,985,20-MAR-2020
ADHUNIKIND,EQ,18.05,18.05,18.05,18.05,18.05,19.0,1151,19-MAR-2020
ADHUNIKIND,EQ,19.0,19.0,19.0,19.0,19.0,19.95,2531,18-MAR-2020
ADHUNIKIND,EQ,19.95,19.95,19.95,19.95,19.95,20.95,1820,17-MAR-2020
ADHUNIKIND,EQ,20.95,20.95,20.95,20.95,20.95,22.05,4204,16-MAR-2020
ADHUNIKIND,EQ,22.05,22.05,22.05,22.05,22.05,23.2,3175,13-MAR-2020
ADHUNIKIND,EQ,23.2,23.2,23.2,23.2,23.2,24.4,854,12-MAR-2020
ADHUNIKIND,EQ,24.4,24.4,24.4,24.4,24.4,25.65,2326,11-MAR-2020
ADHUNIKIND,EQ,25.65,25.65,25.65,25.65,25.65,26.95,982,09-MAR-2020
ADHUNIKIND,EQ,26.95,27.45,26.95,26.95,26.95,28.35,3264,06-MAR-2020
ADHUNIKIND,EQ,28.35,28.75,28.35,28.35,28.35,29.8,12641,05-MAR-2020
ADHUNIKIND,EQ,30.75,30.75,29.8,29.8,29.8,31.35,220723,04-MAR-2020
ADHUNIKIND,EQ,31.05,32.4,30.75,31.35,30.75,32.35,8921,03-MAR-2020
ADHUNIKIND,EQ,34.05,34.65,32.35,32.35,32.35,34.05,258688,02-MAR-2020
ADHUNIKIND,EQ,35.7,37.3,33.9,34.05,33.9,35.65,2154,28-FEB-2020
ADHUNIKIND,EQ,34.9,36.4,34.2,35.65,36.4,35.8,5144,27-FEB-2020
ADHUNIKIND,EQ,34.85,36.1,34.75,35.8,35.8,35.45,31748,26-FEB-2020
ADHUNIKIND,EQ,34.35,36.6,33.65,35.45,36.3,35.25,21656,25-FEB-2020
ADHUNIKIND,EQ,35.55,36.8,35.25,35.25,35.25,37.1,124846,24-FEB-2020
ADHUNIKIND,EQ,37.25,38.35,35.85,37.1,38.0,37.15,188019,20-FEB-2020
ADHUNIKIND,EQ,37.15,37.25,35.3,37.15,37.1,35.5,182689,19-FEB-2020
ADHUNIKIND,EQ,35.15,36.4,34.75,35.5,35.25,36.3,150820,18-FEB-2020
ADHUNIKIND,EQ,36.05,38.3,35.85,36.3,36.3,37.7,6648,17-FEB-2020
ADHUNIKIND,EQ,37.75,38.35,36.5,37.7,37.9,37.7,173538,14-FEB-2020
ADHUNIKIND,EQ,38.45,38.45,36.9,37.7,38.2,37.6,17033,13-FEB-2020
ADHUNIKIND,EQ,38.0,39.3,37.0,37.6,37.8,38.2,42062,12-FEB-2020
ADHUNIKIND,EQ,37.5,39.7,37.1,38.2,38.8,38.95,152703,11-FEB-2020
ADHUNIKIND,EQ,40.35,40.35,38.5,38.95,38.5,40.35,105561,10-FEB-2020
