SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ADSL,EQ,12.0,12.4,11.7,11.9,11.7,12.3,62297,20-MAR-2020
ADSL,EQ,12.3,12.3,12.3,12.3,12.3,12.9,12055,19-MAR-2020
ADSL,EQ,13.55,13.55,12.9,12.9,12.9,13.55,27123,18-MAR-2020
ADSL,EQ,14.3,14.3,13.55,13.55,13.55,14.25,15288,17-MAR-2020
ADSL,EQ,14.95,14.95,14.25,14.25,14.25,14.95,124600,16-MAR-2020
ADSL,EQ,14.95,15.65,14.95,14.95,14.95,15.7,58609,13-MAR-2020
ADSL,EQ,15.75,16.2,15.7,15.7,15.7,16.5,37014,12-MAR-2020
ADSL,EQ,15.6,17.0,15.55,16.5,17.0,16.35,21517,11-MAR-2020
ADSL,EQ,16.7,17.15,16.35,16.35,16.35,17.2,46814,09-MAR-2020
ADSL,EQ,18.05,18.05,17.15,17.2,17.15,18.05,39262,06-MAR-2020
ADSL,EQ,17.7,18.05,16.65,18.05,18.05,17.2,39635,05-MAR-2020
ADSL,EQ,18.8,18.8,17.1,17.2,17.4,17.95,45350,04-MAR-2020
ADSL,BE,19.45,19.45,17.8,17.95,18.0,18.6,19786,03-MAR-2020
ADSL,BE,18.1,19.0,18.0,18.6,18.1,18.1,24727,02-MAR-2020
ADSL,BE,19.0,19.0,18.1,18.1,18.1,19.05,41110,28-FEB-2020
ADSL,BE,19.7,19.8,18.6,19.05,19.0,19.55,38256,27-FEB-2020
ADSL,BE,20.05,20.45,19.5,19.55,20.45,20.15,21315,26-FEB-2020
ADSL,BE,20.5,20.75,20.05,20.15,20.5,20.5,5585,25-FEB-2020
ADSL,BE,21.4,21.4,20.4,20.5,20.6,20.9,12765,24-FEB-2020
ADSL,BE,20.05,21.05,20.0,20.9,21.05,20.05,22768,20-FEB-2020
ADSL,BE,19.6,21.0,19.6,20.05,19.7,20.6,25864,19-FEB-2020
ADSL,BE,21.05,21.3,20.6,20.6,20.95,21.65,24152,18-FEB-2020
ADSL,BE,22.6,23.0,21.5,21.65,21.85,22.6,10113,17-FEB-2020
ADSL,BE,22.25,23.0,22.25,22.6,23.0,22.55,20545,14-FEB-2020
ADSL,BE,22.5,23.7,22.4,22.55,22.85,23.5,13750,13-FEB-2020
ADSL,BE,23.9,23.9,22.2,23.5,23.5,23.25,46060,12-FEB-2020
ADSL,BE,23.1,23.9,23.0,23.25,23.5,23.8,63614,11-FEB-2020
ADSL,BE,23.8,24.0,22.5,23.8,24.0,23.4,54919,10-FEB-2020
