SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
AGARIND,EQ,58.85,59.95,52.15,59.2,59.95,54.9,119416,20-MAR-2020
AGARIND,EQ,51.0,58.0,50.4,54.9,54.5,54.8,8771,19-MAR-2020
AGARIND,EQ,53.3,56.9,52.2,54.8,54.8,54.65,2024,18-MAR-2020
AGARIND,EQ,56.95,57.0,54.0,54.65,54.15,54.7,3049,17-MAR-2020
AGARIND,EQ,60.5,60.5,53.8,54.7,54.05,56.7,2854,16-MAR-2020
AGARIND,EQ,57.0,67.95,51.2,56.7,56.9,61.15,20501,13-MAR-2020
AGARIND,EQ,57.25,63.9,57.25,61.15,61.8,64.05,7613,12-MAR-2020
AGARIND,EQ,65.6,67.0,62.0,64.05,63.0,62.7,3247,11-MAR-2020
AGARIND,EQ,60.95,64.8,56.95,62.7,64.0,62.45,6959,09-MAR-2020
AGARIND,EQ,66.0,69.9,61.0,62.45,61.7,66.65,43439,06-MAR-2020
AGARIND,EQ,71.95,73.95,62.0,66.65,67.0,71.6,7875,05-MAR-2020
AGARIND,EQ,72.0,75.0,70.1,71.6,71.8,74.35,1430,04-MAR-2020
AGARIND,EQ,70.85,75.75,70.2,74.35,75.0,70.8,2246,03-MAR-2020
AGARIND,EQ,74.95,74.95,70.0,70.8,73.0,71.55,6328,02-MAR-2020
AGARIND,EQ,74.8,74.8,68.0,71.55,71.0,75.4,16900,28-FEB-2020
AGARIND,EQ,78.0,78.0,73.05,75.4,75.1,77.1,7040,27-FEB-2020
AGARIND,EQ,77.05,79.05,76.0,77.1,77.1,78.85,2084,26-FEB-2020
AGARIND,EQ,79.4,81.0,78.05,78.85,78.85,79.4,6074,25-FEB-2020
AGARIND,EQ,82.35,82.4,76.55,79.4,80.9,80.3,9162,24-FEB-2020
AGARIND,EQ,83.9,83.9,79.0,80.3,80.3,81.3,2805,20-FEB-2020
AGARIND,EQ,78.1,84.9,77.5,81.3,82.9,76.4,9436,19-FEB-2020
AGARIND,EQ,84.95,84.95,74.0,76.4,75.0,82.8,17865,18-FEB-2020
AGARIND,EQ,88.8,88.8,82.0,82.8,82.85,81.7,12803,17-FEB-2020
AGARIND,EQ,80.0,83.0,76.5,81.7,81.8,80.5,11005,14-FEB-2020
AGARIND,EQ,84.9,84.9,77.0,80.5,82.0,81.05,4724,13-FEB-2020
AGARIND,EQ,82.75,84.0,79.0,81.05,80.0,82.6,5050,12-FEB-2020
AGARIND,EQ,80.55,83.95,80.5,82.6,81.5,80.5,5528,11-FEB-2020
AGARIND,EQ,80.05,83.0,78.6,80.5,79.7,79.45,12522,10-FEB-2020
