SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
AGCNET,BE,211.8,234.0,211.8,230.55,234.0,222.9,53035,20-MAR-2020
AGCNET,BE,222.9,222.9,222.9,222.9,222.9,234.6,56,19-MAR-2020
AGCNET,BE,234.75,234.75,234.6,234.6,234.6,246.9,171,18-MAR-2020
AGCNET,BE,247.0,250.95,246.9,246.9,246.9,259.85,2584,17-MAR-2020
AGCNET,BE,273.0,273.0,259.85,259.85,259.85,273.5,6286,16-MAR-2020
AGCNET,BE,273.5,287.85,273.5,273.5,273.5,287.85,33092,13-MAR-2020
AGCNET,BE,290.0,290.0,287.85,287.85,287.85,303.0,64,12-MAR-2020
AGCNET,BE,302.65,318.55,302.65,303.0,307.0,318.55,14063,11-MAR-2020
AGCNET,BE,318.55,333.0,318.55,318.55,318.55,335.3,33891,09-MAR-2020
AGCNET,BE,335.3,335.3,335.3,335.3,335.3,352.9,2208,06-MAR-2020
AGCNET,BE,352.9,352.9,352.9,352.9,352.9,371.45,402,05-MAR-2020
AGCNET,BE,372.0,372.0,371.45,371.45,371.45,390.95,1583,04-MAR-2020
AGCNET,EQ,415.0,422.95,390.95,390.95,390.95,411.5,17393,03-MAR-2020
AGCNET,EQ,439.0,441.95,404.0,411.5,405.0,422.15,27900,02-MAR-2020
AGCNET,BL,422.0,422.0,422.0,422.0,422.0,395.75,265000,28-FEB-2020
AGCNET,EQ,451.95,451.95,419.1,422.15,421.0,441.15,70856,28-FEB-2020
AGCNET,EQ,424.95,441.15,421.0,441.15,441.15,420.15,80903,27-FEB-2020
AGCNET,EQ,456.5,456.5,413.1,420.15,418.8,434.8,141897,26-FEB-2020
AGCNET,EQ,434.8,434.8,434.8,434.8,434.8,414.1,4583,25-FEB-2020
AGCNET,EQ,414.1,414.1,414.1,414.1,414.1,394.4,6281,24-FEB-2020
AGCNET,EQ,394.4,394.4,394.4,394.4,394.4,375.65,9365,20-FEB-2020
AGCNET,EQ,367.0,375.65,367.0,375.65,375.65,357.8,10187,19-FEB-2020
AGCNET,EQ,358.8,363.75,348.0,357.8,358.0,346.45,44903,18-FEB-2020
AGCNET,EQ,321.0,354.7,321.0,346.45,347.0,337.85,108746,17-FEB-2020
AGCNET,EQ,337.85,337.85,331.0,337.85,337.85,321.8,83052,14-FEB-2020
AGCNET,EQ,321.8,321.8,321.8,321.8,321.8,306.5,9300,13-FEB-2020
AGCNET,EQ,306.5,306.5,292.0,306.5,306.5,291.95,69255,12-FEB-2020
AGCNET,EQ,291.95,291.95,291.95,291.95,291.95,278.05,8091,11-FEB-2020
AGCNET,EQ,265.05,278.05,265.0,278.05,278.05,264.85,12099,10-FEB-2020
