SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
AGROPHOS,EQ,7.8,8.5,7.7,8.0,8.15,8.1,80690,20-MAR-2020
AGROPHOS,EQ,7.8,8.6,7.8,8.1,7.8,8.2,99353,19-MAR-2020
AGROPHOS,EQ,8.6,8.6,8.2,8.2,8.2,8.6,2915,18-MAR-2020
AGROPHOS,EQ,8.7,8.7,8.6,8.6,8.6,9.05,88327,17-MAR-2020
AGROPHOS,EQ,9.05,9.05,9.05,9.05,9.05,9.5,7306,16-MAR-2020
AGROPHOS,EQ,9.5,10.4,9.5,9.5,9.5,9.95,73688,13-MAR-2020
AGROPHOS,EQ,9.95,9.95,9.95,9.95,9.95,10.45,296,12-MAR-2020
AGROPHOS,EQ,10.45,10.45,10.45,10.45,10.45,10.95,731,11-MAR-2020
AGROPHOS,EQ,10.95,10.95,10.95,10.95,10.95,11.5,360,09-MAR-2020
AGROPHOS,EQ,11.5,11.5,11.5,11.5,11.5,12.1,4873,06-MAR-2020
AGROPHOS,EQ,12.3,12.4,12.1,12.1,12.1,12.7,21815,05-MAR-2020
AGROPHOS,EQ,12.8,13.95,12.7,12.7,12.7,13.35,90523,04-MAR-2020
AGROPHOS,EQ,13.5,13.9,13.25,13.35,13.6,13.9,65229,03-MAR-2020
AGROPHOS,EQ,13.4,14.75,13.4,13.9,13.9,14.05,210383,02-MAR-2020
AGROPHOS,EQ,14.1,14.9,14.05,14.05,14.05,14.75,115085,28-FEB-2020
AGROPHOS,EQ,14.85,14.85,14.2,14.75,14.7,14.15,136476,27-FEB-2020
AGROPHOS,EQ,12.85,14.15,12.85,14.15,14.15,13.5,554440,26-FEB-2020
AGROPHOS,EQ,13.5,13.5,13.5,13.5,13.5,12.9,38183,25-FEB-2020
AGROPHOS,EQ,12.9,12.9,12.9,12.9,12.9,12.3,77236,24-FEB-2020
AGROPHOS,EQ,11.2,12.3,11.2,12.3,12.3,11.75,593481,20-FEB-2020
AGROPHOS,EQ,11.75,11.75,11.75,11.75,11.75,12.35,2196,19-FEB-2020
AGROPHOS,EQ,12.35,12.35,12.35,12.35,12.35,13.0,886,18-FEB-2020
AGROPHOS,EQ,13.0,13.0,13.0,13.0,13.0,13.65,1882,17-FEB-2020
AGROPHOS,EQ,13.65,13.65,13.65,13.65,13.65,14.35,13302,14-FEB-2020
AGROPHOS,EQ,14.35,14.35,14.35,14.35,14.35,15.1,10346,13-FEB-2020
AGROPHOS,EQ,15.1,15.1,15.1,15.1,15.1,15.85,44059,12-FEB-2020
AGROPHOS,EQ,15.85,17.45,15.85,15.85,15.85,16.65,954794,11-FEB-2020
AGROPHOS,EQ,16.65,16.65,16.65,16.65,16.65,17.5,2609,10-FEB-2020
