SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
AHLEAST,EQ,134.8,148.35,125.0,141.0,141.0,123.7,4508,20-MAR-2020
AHLEAST,EQ,125.95,155.6,115.55,123.7,122.0,141.1,875,19-MAR-2020
AHLEAST,EQ,150.95,160.0,141.0,141.1,141.0,141.1,233,18-MAR-2020
AHLEAST,EQ,167.05,173.95,135.55,141.1,141.0,153.05,2296,17-MAR-2020
AHLEAST,EQ,165.0,165.0,137.3,153.05,158.0,167.45,1147,16-MAR-2020
AHLEAST,EQ,163.95,196.8,150.1,167.45,168.0,164.0,1218,13-MAR-2020
AHLEAST,EQ,172.0,189.0,162.15,164.0,164.0,180.95,384,12-MAR-2020
AHLEAST,EQ,181.65,192.95,180.0,180.95,180.0,181.55,474,11-MAR-2020
AHLEAST,EQ,181.0,187.45,180.05,181.55,181.0,189.8,1171,09-MAR-2020
AHLEAST,EQ,213.1,222.4,172.75,189.8,190.0,192.0,649,06-MAR-2020
AHLEAST,EQ,221.9,221.9,184.05,192.0,191.9,185.9,606,05-MAR-2020
AHLEAST,EQ,189.15,194.95,181.1,185.9,188.0,186.45,47,04-MAR-2020
AHLEAST,EQ,222.0,222.0,183.05,186.45,186.45,190.05,1954,03-MAR-2020
AHLEAST,EQ,196.95,196.95,188.0,190.05,194.0,186.05,4636,02-MAR-2020
AHLEAST,EQ,195.0,195.0,180.1,186.05,187.05,191.4,681,28-FEB-2020
AHLEAST,EQ,191.0,197.15,186.15,191.4,192.0,189.9,2293,27-FEB-2020
AHLEAST,EQ,188.25,191.95,188.1,189.9,188.55,192.05,2888,26-FEB-2020
AHLEAST,EQ,188.0,194.35,186.0,192.05,192.0,190.7,793,25-FEB-2020
AHLEAST,EQ,186.05,195.0,178.0,190.7,193.6,186.3,1670,24-FEB-2020
AHLEAST,EQ,184.1,189.05,183.15,186.3,186.75,186.35,493,20-FEB-2020
AHLEAST,EQ,173.6,190.05,173.6,186.35,186.5,185.05,407,19-FEB-2020
AHLEAST,EQ,185.0,185.6,177.05,185.05,185.35,186.2,315,18-FEB-2020
AHLEAST,EQ,193.05,193.05,185.05,186.2,186.05,191.0,215,17-FEB-2020
AHLEAST,EQ,187.5,196.95,187.5,191.0,191.0,187.0,139,14-FEB-2020
AHLEAST,EQ,182.05,193.0,182.05,187.0,188.5,187.1,8529,13-FEB-2020
AHLEAST,EQ,190.0,190.0,186.0,187.1,186.5,187.05,1939,12-FEB-2020
AHLEAST,EQ,187.0,198.0,185.0,187.05,190.0,187.95,779,11-FEB-2020
AHLEAST,EQ,191.9,195.9,182.55,187.95,187.1,184.95,2550,10-FEB-2020
