SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
AKZOINDIA,EQ,1962.0,2173.9,1962.0,2144.3,2110.0,1998.85,20403,20-MAR-2020
AKZOINDIA,EQ,2150.0,2150.0,1914.0,1998.85,2000.0,2159.95,81840,19-MAR-2020
AKZOINDIA,EQ,2247.95,2250.0,2075.0,2159.95,2201.4,2202.7,24136,18-MAR-2020
AKZOINDIA,EQ,2175.0,2249.95,2089.95,2202.7,2210.0,2198.6,44183,17-MAR-2020
AKZOINDIA,EQ,2260.0,2303.95,2170.0,2198.6,2204.0,2376.8,20057,16-MAR-2020
AKZOINDIA,EQ,2200.2,2410.0,2052.05,2376.8,2355.05,2355.6,68371,13-MAR-2020
AKZOINDIA,EQ,2391.0,2425.0,2276.05,2355.6,2374.0,2478.25,52471,12-MAR-2020
AKZOINDIA,EQ,2400.0,2490.25,2395.5,2478.25,2490.0,2394.95,39913,11-MAR-2020
AKZOINDIA,EQ,2441.95,2465.5,2300.6,2394.95,2384.05,2441.95,58156,09-MAR-2020
AKZOINDIA,EQ,2414.95,2499.0,2357.6,2441.95,2449.05,2435.45,37479,06-MAR-2020
AKZOINDIA,EQ,2415.3,2450.0,2402.25,2435.45,2421.2,2412.5,13805,05-MAR-2020
AKZOINDIA,EQ,2403.0,2444.95,2350.0,2412.5,2410.0,2402.0,24959,04-MAR-2020
AKZOINDIA,EQ,2405.0,2458.95,2355.0,2402.0,2426.0,2403.85,21149,03-MAR-2020
AKZOINDIA,EQ,2469.65,2498.25,2356.05,2403.85,2390.0,2350.55,44277,02-MAR-2020
AKZOINDIA,EQ,2261.1,2398.0,2225.05,2350.55,2371.0,2309.45,57516,28-FEB-2020
AKZOINDIA,EQ,2303.0,2399.95,2246.0,2309.45,2300.0,2304.15,24283,27-FEB-2020
AKZOINDIA,EQ,2318.9,2320.05,2265.0,2304.15,2306.2,2307.4,13439,26-FEB-2020
AKZOINDIA,EQ,2365.0,2384.15,2292.0,2307.4,2307.15,2365.65,13202,25-FEB-2020
AKZOINDIA,EQ,2390.0,2414.45,2340.0,2365.65,2363.0,2415.75,22657,24-FEB-2020
AKZOINDIA,EQ,2465.15,2480.75,2405.0,2415.75,2429.0,2465.15,13216,20-FEB-2020
AKZOINDIA,EQ,2340.0,2499.9,2340.0,2465.15,2453.2,2334.05,40589,19-FEB-2020
AKZOINDIA,EQ,2378.0,2405.0,2320.0,2334.05,2338.4,2388.2,12818,18-FEB-2020
AKZOINDIA,EQ,2377.0,2500.0,2362.75,2388.2,2377.45,2380.8,52188,17-FEB-2020
AKZOINDIA,EQ,2279.0,2448.95,2272.0,2380.8,2380.0,2261.45,83931,14-FEB-2020
AKZOINDIA,EQ,2169.4,2294.0,2145.15,2261.45,2270.0,2158.65,32416,13-FEB-2020
AKZOINDIA,EQ,2160.0,2185.0,2140.35,2158.65,2185.0,2171.0,10590,12-FEB-2020
AKZOINDIA,EQ,2122.5,2177.45,2069.5,2171.0,2161.0,2111.95,27851,11-FEB-2020
AKZOINDIA,EQ,2119.9,2143.4,2091.0,2111.95,2115.0,2081.05,16753,10-FEB-2020
