SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ALEMBICLTD,EQ,41.0,41.0,37.3,37.8,37.95,38.85,151165,20-MAR-2020
ALEMBICLTD,EQ,40.1,41.0,38.1,38.85,39.0,41.05,159935,19-MAR-2020
ALEMBICLTD,EQ,43.15,44.05,40.1,41.05,41.2,43.05,435084,18-MAR-2020
ALEMBICLTD,EQ,42.15,43.5,41.5,43.05,43.5,42.1,118919,17-MAR-2020
ALEMBICLTD,EQ,44.0,44.0,40.85,42.1,43.05,44.55,461392,16-MAR-2020
ALEMBICLTD,EQ,40.25,45.2,35.2,44.55,44.0,43.9,384642,13-MAR-2020
ALEMBICLTD,EQ,45.5,45.5,42.0,43.9,44.15,46.55,471060,12-MAR-2020
ALEMBICLTD,EQ,47.6,48.4,46.4,46.55,46.4,47.4,68859,11-MAR-2020
ALEMBICLTD,EQ,46.5,48.25,45.0,47.4,48.2,47.5,130066,09-MAR-2020
ALEMBICLTD,EQ,47.0,48.1,44.55,47.5,47.85,48.2,75863,06-MAR-2020
ALEMBICLTD,EQ,48.35,50.2,47.5,48.2,47.55,48.25,56701,05-MAR-2020
ALEMBICLTD,EQ,48.8,49.4,46.55,48.25,48.0,47.95,124812,04-MAR-2020
ALEMBICLTD,EQ,47.45,48.4,46.8,47.95,48.25,46.5,122074,03-MAR-2020
ALEMBICLTD,EQ,48.6,49.3,46.0,46.5,46.2,48.1,63175,02-MAR-2020
ALEMBICLTD,EQ,47.5,49.0,47.1,48.1,47.8,49.1,81557,28-FEB-2020
ALEMBICLTD,EQ,49.5,49.5,48.0,49.1,49.0,48.85,71602,27-FEB-2020
ALEMBICLTD,EQ,50.0,51.7,48.2,48.85,48.75,50.2,115875,26-FEB-2020
ALEMBICLTD,EQ,50.8,51.9,50.0,50.2,50.15,50.75,57158,25-FEB-2020
ALEMBICLTD,EQ,52.0,52.85,50.5,50.75,50.7,53.1,66276,24-FEB-2020
ALEMBICLTD,EQ,51.8,53.6,51.05,53.1,53.25,51.15,190125,20-FEB-2020
ALEMBICLTD,EQ,49.3,51.8,49.3,51.15,51.75,49.25,130044,19-FEB-2020
ALEMBICLTD,EQ,50.0,50.1,49.0,49.25,49.35,50.0,110556,18-FEB-2020
ALEMBICLTD,EQ,51.05,51.7,49.65,50.0,50.05,51.0,83288,17-FEB-2020
ALEMBICLTD,EQ,50.8,52.5,50.55,51.0,51.15,50.45,129935,14-FEB-2020
ALEMBICLTD,EQ,52.3,53.4,50.15,50.45,50.35,52.3,197519,13-FEB-2020
ALEMBICLTD,EQ,54.2,54.2,52.25,52.3,52.25,53.65,119106,12-FEB-2020
ALEMBICLTD,EQ,53.85,55.1,53.5,53.65,53.65,53.5,92980,11-FEB-2020
ALEMBICLTD,EQ,53.35,54.0,53.2,53.5,53.4,53.35,85913,10-FEB-2020
