SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ALKYLAMINE,EQ,1095.0,1300.65,1090.0,1254.05,1250.0,1083.9,41271,20-MAR-2020
ALKYLAMINE,EQ,1101.0,1133.55,1031.0,1083.9,1060.0,1172.85,46945,19-MAR-2020
ALKYLAMINE,EQ,1236.0,1236.0,1152.8,1172.85,1175.0,1216.25,38505,18-MAR-2020
ALKYLAMINE,EQ,1227.0,1246.95,1187.95,1216.25,1224.9,1242.1,30541,17-MAR-2020
ALKYLAMINE,EQ,1250.0,1280.1,1166.25,1242.1,1248.5,1298.35,30693,16-MAR-2020
ALKYLAMINE,EQ,1075.0,1377.2,1021.05,1298.35,1305.0,1269.35,69210,13-MAR-2020
ALKYLAMINE,EQ,1400.0,1409.95,1250.0,1269.35,1256.0,1455.55,57126,12-MAR-2020
ALKYLAMINE,EQ,1465.0,1495.05,1414.55,1455.55,1455.0,1464.85,37822,11-MAR-2020
ALKYLAMINE,EQ,1522.7,1551.95,1440.0,1464.85,1461.55,1543.3,51829,09-MAR-2020
ALKYLAMINE,EQ,1479.95,1555.0,1464.0,1543.3,1542.55,1533.85,32483,06-MAR-2020
ALKYLAMINE,EQ,1522.6,1548.8,1500.0,1533.85,1539.0,1506.75,19811,05-MAR-2020
ALKYLAMINE,EQ,1539.6,1549.0,1475.65,1506.75,1512.45,1525.95,37082,04-MAR-2020
ALKYLAMINE,EQ,1530.0,1550.0,1475.65,1525.95,1545.0,1519.1,44761,03-MAR-2020
ALKYLAMINE,EQ,1532.25,1621.0,1469.0,1519.1,1476.0,1511.15,54657,02-MAR-2020
ALKYLAMINE,EQ,1530.0,1564.0,1468.95,1511.15,1560.05,1608.15,73221,28-FEB-2020
ALKYLAMINE,EQ,1755.0,1810.05,1550.0,1608.15,1599.0,1747.3,116848,27-FEB-2020
ALKYLAMINE,EQ,1645.0,1774.0,1635.05,1747.3,1758.0,1650.75,106871,26-FEB-2020
ALKYLAMINE,EQ,1674.8,1718.55,1642.0,1650.75,1659.95,1656.45,44536,25-FEB-2020
ALKYLAMINE,EQ,1639.0,1708.95,1611.0,1656.45,1660.4,1635.85,54047,24-FEB-2020
ALKYLAMINE,EQ,1599.9,1665.95,1589.0,1635.85,1648.0,1590.95,56051,20-FEB-2020
ALKYLAMINE,EQ,1560.0,1599.9,1552.0,1590.95,1591.9,1547.35,37545,19-FEB-2020
ALKYLAMINE,EQ,1550.0,1574.95,1532.5,1547.35,1549.0,1556.25,19000,18-FEB-2020
ALKYLAMINE,EQ,1570.9,1585.0,1527.5,1556.25,1558.9,1570.9,22941,17-FEB-2020
ALKYLAMINE,EQ,1569.9,1600.0,1540.7,1570.9,1575.0,1547.6,53030,14-FEB-2020
ALKYLAMINE,EQ,1567.9,1567.9,1523.8,1547.6,1555.0,1551.8,15450,13-FEB-2020
ALKYLAMINE,EQ,1547.5,1572.0,1534.8,1551.8,1547.0,1534.8,17121,12-FEB-2020
ALKYLAMINE,EQ,1550.0,1579.95,1525.25,1534.8,1535.0,1539.65,29337,11-FEB-2020
ALKYLAMINE,EQ,1463.5,1586.0,1438.0,1539.65,1530.0,1455.7,66501,10-FEB-2020
