SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ALOKINDS,EQ,5.45,5.45,5.45,5.45,5.45,5.7,263152,20-MAR-2020
ALOKINDS,EQ,5.7,5.7,5.7,5.7,5.7,6.0,299349,19-MAR-2020
ALOKINDS,EQ,6.0,6.0,6.0,6.0,6.0,6.3,157576,18-MAR-2020
ALOKINDS,EQ,6.3,6.3,6.3,6.3,6.3,6.6,191711,17-MAR-2020
ALOKINDS,EQ,6.6,6.6,6.6,6.6,6.6,6.9,234300,16-MAR-2020
ALOKINDS,EQ,6.9,6.9,6.9,6.9,6.9,7.25,230817,13-MAR-2020
ALOKINDS,EQ,7.25,7.25,7.25,7.25,7.25,7.6,269832,12-MAR-2020
ALOKINDS,EQ,7.6,7.6,7.6,7.6,7.6,7.95,319894,11-MAR-2020
ALOKINDS,EQ,7.95,7.95,7.95,7.95,7.95,8.8,321298,09-MAR-2020
ALOKINDS,EQ,8.8,8.8,8.8,8.8,8.8,9.75,253423,06-MAR-2020
ALOKINDS,EQ,9.75,9.75,9.75,9.75,9.75,10.8,325161,05-MAR-2020
ALOKINDS,BE,10.8,10.8,10.8,10.8,10.8,11.35,98308,04-MAR-2020
ALOKINDS,BE,11.35,11.35,11.35,11.35,11.35,11.9,187926,03-MAR-2020
ALOKINDS,BE,11.9,11.9,11.9,11.9,11.9,12.5,1027602,02-MAR-2020
ALOKINDS,BE,12.5,12.5,12.5,12.5,12.5,13.15,49547,28-FEB-2020
ALOKINDS,BE,13.15,13.15,13.15,13.15,13.15,13.8,145289,27-FEB-2020
ALOKINDS,BE,13.8,13.8,13.8,13.8,13.8,14.5,47194,26-FEB-2020
ALOKINDS,BE,14.5,14.5,14.5,14.5,14.5,15.25,72567,25-FEB-2020
ALOKINDS,BE,15.25,15.25,15.25,15.25,15.25,16.05,134852,24-FEB-2020
ALOKINDS,BE,16.05,16.05,16.05,16.05,16.05,16.85,383712,20-FEB-2020
ALOKINDS,BE,17.7,17.7,16.85,16.85,16.85,3.3,1710857,19-FEB-2020
