SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ANANTRAJ,EQ,19.55,20.15,18.55,19.2,19.1,19.55,552033,20-MAR-2020
ANANTRAJ,EQ,19.0,20.2,18.4,19.55,19.45,20.25,237013,19-MAR-2020
ANANTRAJ,EQ,22.6,25.4,19.8,20.25,19.8,22.35,558701,18-MAR-2020
ANANTRAJ,EQ,21.85,23.6,21.85,22.35,22.25,22.05,125449,17-MAR-2020
ANANTRAJ,EQ,23.1,23.4,21.35,22.05,21.95,23.6,281315,16-MAR-2020
ANANTRAJ,EQ,21.0,23.9,19.55,23.6,23.8,24.1,650042,13-MAR-2020
ANANTRAJ,EQ,27.2,27.6,23.6,24.1,24.1,28.35,1142061,12-MAR-2020
ANANTRAJ,EQ,27.7,28.7,27.7,28.35,28.5,28.8,115978,11-MAR-2020
ANANTRAJ,EQ,27.25,29.0,27.25,28.8,28.15,29.6,314398,09-MAR-2020
ANANTRAJ,EQ,29.25,29.9,28.45,29.6,29.9,29.95,185695,06-MAR-2020
ANANTRAJ,EQ,29.4,30.0,29.0,29.95,29.95,29.4,186288,05-MAR-2020
ANANTRAJ,EQ,29.45,29.7,28.0,29.4,29.5,28.0,235088,04-MAR-2020
ANANTRAJ,EQ,28.2,29.6,26.85,28.0,29.6,27.2,167174,03-MAR-2020
ANANTRAJ,EQ,28.75,29.05,27.0,27.2,27.25,27.85,145612,02-MAR-2020
ANANTRAJ,EQ,29.35,29.35,26.75,27.85,27.65,29.35,126855,28-FEB-2020
ANANTRAJ,EQ,30.3,30.4,28.55,29.35,29.25,30.05,160513,27-FEB-2020
ANANTRAJ,EQ,30.5,30.75,30.05,30.05,30.1,30.5,112430,26-FEB-2020
ANANTRAJ,EQ,31.05,31.4,30.3,30.5,30.35,31.1,413360,25-FEB-2020
ANANTRAJ,EQ,31.5,31.6,31.0,31.1,31.05,32.0,139733,24-FEB-2020
ANANTRAJ,EQ,32.25,32.25,31.65,32.0,31.9,32.35,158960,20-FEB-2020
ANANTRAJ,EQ,32.1,32.7,31.65,32.35,32.3,31.8,84759,19-FEB-2020
ANANTRAJ,EQ,32.45,32.5,31.1,31.8,31.8,32.35,144759,18-FEB-2020
ANANTRAJ,EQ,33.5,33.55,32.3,32.35,32.5,32.7,145079,17-FEB-2020
ANANTRAJ,EQ,33.25,33.75,32.0,32.7,32.7,33.15,160519,14-FEB-2020
ANANTRAJ,EQ,33.3,33.45,32.5,33.15,33.05,33.15,114756,13-FEB-2020
ANANTRAJ,EQ,33.4,33.8,32.8,33.15,33.05,33.4,135294,12-FEB-2020
ANANTRAJ,EQ,33.5,34.25,33.3,33.4,33.5,33.65,122720,11-FEB-2020
ANANTRAJ,EQ,33.35,34.1,32.85,33.65,33.55,33.5,247082,10-FEB-2020
