SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ANDHRAPAP,EQ,151.0,153.9,139.2,144.6,143.5,151.95,18692,20-MAR-2020
ANDHRAPAP,EQ,164.95,164.95,144.1,151.95,150.0,160.1,8128,19-MAR-2020
ANDHRAPAP,EQ,165.0,170.0,155.0,160.1,163.8,159.5,6825,18-MAR-2020
ANDHRAPAP,EQ,175.5,175.5,158.05,159.5,159.25,166.9,14775,17-MAR-2020
ANDHRAPAP,EQ,168.1,168.95,160.0,166.9,164.35,168.1,4051,16-MAR-2020
ANDHRAPAP,EQ,160.0,187.1,134.9,168.1,187.1,168.6,13205,13-MAR-2020
ANDHRAPAP,EQ,184.0,192.7,167.0,168.6,167.0,195.8,19450,12-MAR-2020
ANDHRAPAP,EQ,201.2,209.85,195.0,195.8,195.3,201.4,25817,11-MAR-2020
ANDHRAPAP,EQ,229.0,232.0,186.55,201.4,201.05,229.0,13726,09-MAR-2020
ANDHRAPAP,EQ,242.0,242.0,228.0,229.0,228.2,243.2,4613,06-MAR-2020
ANDHRAPAP,EQ,238.0,248.7,227.0,243.2,245.0,230.65,2994,05-MAR-2020
