SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ANSALHSG,EQ,2.85,3.0,2.85,3.0,3.0,2.95,17076,20-MAR-2020
ANSALHSG,EQ,3.1,3.1,2.95,2.95,2.95,3.1,11030,19-MAR-2020
ANSALHSG,EQ,3.1,3.25,3.1,3.1,3.1,3.25,9779,18-MAR-2020
ANSALHSG,EQ,3.0,3.25,3.0,3.25,3.25,3.1,20217,17-MAR-2020
ANSALHSG,EQ,3.15,3.25,3.05,3.1,3.1,3.2,45194,16-MAR-2020
ANSALHSG,EQ,3.15,3.4,3.15,3.2,3.15,3.3,28642,13-MAR-2020
ANSALHSG,EQ,3.3,3.3,3.3,3.3,3.3,3.45,6566,12-MAR-2020
ANSALHSG,EQ,3.45,3.7,3.45,3.45,3.45,3.6,26317,11-MAR-2020
ANSALHSG,EQ,3.6,3.6,3.6,3.6,3.6,3.75,21954,09-MAR-2020
ANSALHSG,EQ,3.75,3.85,3.75,3.75,3.75,3.9,10117,06-MAR-2020
ANSALHSG,EQ,4.0,4.0,3.85,3.9,3.95,4.05,25123,05-MAR-2020
ANSALHSG,EQ,4.15,4.15,4.05,4.05,4.05,4.25,17231,04-MAR-2020
ANSALHSG,BE,4.35,4.35,4.15,4.25,4.15,4.35,8943,03-MAR-2020
ANSALHSG,BE,4.55,4.7,4.35,4.35,4.35,4.55,30307,02-MAR-2020
ANSALHSG,BE,4.7,4.7,4.55,4.55,4.55,4.75,13761,28-FEB-2020
ANSALHSG,BE,4.95,5.05,4.75,4.75,4.75,4.95,18355,27-FEB-2020
ANSALHSG,BE,5.25,5.3,4.95,4.95,4.95,5.2,28162,26-FEB-2020
ANSALHSG,BE,5.1,5.25,4.85,5.2,5.25,5.0,17764,25-FEB-2020
ANSALHSG,BE,4.8,5.05,4.8,5.0,4.95,4.85,29679,24-FEB-2020
ANSALHSG,BE,4.55,4.95,4.55,4.85,4.9,4.75,30195,20-FEB-2020
ANSALHSG,BE,4.8,4.9,4.65,4.75,4.75,4.8,8554,19-FEB-2020
ANSALHSG,BE,4.6,4.9,4.55,4.8,4.8,4.75,25254,18-FEB-2020
ANSALHSG,BE,4.75,4.95,4.75,4.75,4.75,4.85,7745,17-FEB-2020
ANSALHSG,BE,5.05,5.1,4.75,4.85,4.75,4.9,26800,14-FEB-2020
ANSALHSG,BE,4.75,4.95,4.6,4.9,4.95,4.75,28012,13-FEB-2020
ANSALHSG,BE,4.8,5.0,4.75,4.75,4.75,5.0,22083,12-FEB-2020
ANSALHSG,BE,4.9,5.1,4.75,5.0,5.0,4.9,10586,11-FEB-2020
ANSALHSG,BE,5.0,5.15,4.8,4.9,4.85,5.0,7573,10-FEB-2020
