SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ANUP,EQ,310.05,329.7,285.05,298.3,298.0,306.25,26224,20-MAR-2020
ANUP,EQ,348.9,348.9,281.3,306.25,302.0,348.9,22309,19-MAR-2020
ANUP,EQ,380.65,391.45,342.35,348.9,342.35,391.5,34536,18-MAR-2020
ANUP,EQ,388.05,401.5,388.05,391.5,390.0,388.75,8240,17-MAR-2020
ANUP,EQ,418.7,418.7,382.3,388.75,385.0,419.9,12304,16-MAR-2020
ANUP,EQ,405.0,448.0,340.1,419.9,415.0,422.85,29144,13-MAR-2020
ANUP,EQ,468.0,468.0,403.9,422.85,415.0,469.7,52812,12-MAR-2020
ANUP,EQ,495.0,495.0,462.35,469.7,471.05,482.2,19337,11-MAR-2020
ANUP,EQ,492.0,498.3,445.3,482.2,475.0,506.95,70753,09-MAR-2020
ANUP,EQ,521.8,526.45,495.0,506.95,505.0,527.0,17858,06-MAR-2020
ANUP,EQ,528.95,530.05,525.0,527.0,525.0,526.9,3657,05-MAR-2020
ANUP,EQ,524.1,535.0,513.0,526.9,535.0,527.3,18812,04-MAR-2020
ANUP,EQ,505.8,535.0,504.95,527.3,528.0,505.4,12579,03-MAR-2020
ANUP,EQ,519.0,534.9,501.0,505.4,515.0,511.95,37518,02-MAR-2020
ANUP,EQ,533.0,546.65,486.15,511.95,500.0,541.25,119828,28-FEB-2020
ANUP,EQ,545.0,555.0,533.0,541.25,540.5,542.75,16012,27-FEB-2020
ANUP,EQ,537.25,548.05,531.0,542.75,544.0,537.25,35515,26-FEB-2020
ANUP,EQ,537.0,554.0,532.55,537.25,543.0,529.7,55568,25-FEB-2020
ANUP,EQ,570.5,570.5,527.0,529.7,529.0,570.75,162759,24-FEB-2020
ANUP,EQ,578.0,584.0,566.3,570.75,571.0,571.45,3955,20-FEB-2020
ANUP,EQ,563.0,578.0,563.0,571.45,571.0,563.5,5155,19-FEB-2020
ANUP,EQ,565.0,577.15,555.0,563.5,563.0,568.0,8992,18-FEB-2020
ANUP,EQ,580.0,581.7,561.05,568.0,570.0,579.1,10944,17-FEB-2020
ANUP,EQ,580.05,596.0,577.0,579.1,580.0,591.85,8827,14-FEB-2020
ANUP,EQ,570.85,597.65,567.85,591.85,589.0,571.6,10159,13-FEB-2020
ANUP,EQ,595.5,595.5,570.0,571.6,570.0,583.55,9347,12-FEB-2020
ANUP,EQ,610.0,610.0,575.25,583.55,576.0,598.55,11057,11-FEB-2020
ANUP,EQ,592.55,612.9,562.5,598.55,595.0,591.4,35848,10-FEB-2020
