SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
APLLTD,EQ,501.95,554.0,496.1,543.5,536.0,494.4,133637,20-MAR-2020
APLLTD,EQ,450.1,508.05,450.1,494.4,493.9,486.2,156354,19-MAR-2020
APLLTD,EQ,537.1,543.9,465.5,486.2,486.0,536.0,293760,18-MAR-2020
APLLTD,EQ,542.4,547.0,518.15,536.0,543.9,536.9,238402,17-MAR-2020
APLLTD,EQ,545.0,566.45,512.35,536.9,545.0,574.15,251393,16-MAR-2020
APLLTD,EQ,540.0,596.7,500.0,574.15,576.0,578.2,216730,13-MAR-2020
APLLTD,EQ,600.25,603.9,567.25,578.2,577.0,623.0,283458,12-MAR-2020
APLLTD,EQ,625.0,640.0,597.95,623.0,621.0,624.95,294958,11-MAR-2020
APLLTD,EQ,609.95,630.3,599.85,624.95,622.0,625.9,173154,09-MAR-2020
APLLTD,EQ,624.0,630.55,595.05,625.9,621.05,633.7,116876,06-MAR-2020
APLLTD,EQ,656.0,656.0,627.1,633.7,630.0,648.8,212163,05-MAR-2020
APLLTD,EQ,669.9,670.0,635.0,648.8,643.6,661.2,298227,04-MAR-2020
APLLTD,EQ,656.1,676.9,640.0,661.2,669.9,656.25,191933,03-MAR-2020
APLLTD,EQ,631.0,668.6,631.0,656.25,666.0,629.95,157216,02-MAR-2020
APLLTD,EQ,646.8,646.8,613.0,629.95,632.5,652.5,187570,28-FEB-2020
APLLTD,EQ,649.85,661.0,644.85,652.5,651.1,647.55,114273,27-FEB-2020
APLLTD,EQ,647.0,664.0,645.05,647.55,647.15,646.6,150491,26-FEB-2020
APLLTD,EQ,653.0,666.2,641.6,646.6,648.0,650.55,90460,25-FEB-2020
APLLTD,EQ,660.0,662.95,643.05,650.55,651.75,664.6,141948,24-FEB-2020
APLLTD,EQ,685.0,685.0,661.2,664.6,664.7,674.6,285912,20-FEB-2020
APLLTD,EQ,650.0,683.7,640.25,674.6,677.0,644.95,481687,19-FEB-2020
APLLTD,EQ,644.0,649.0,636.65,644.95,645.0,644.0,109830,18-FEB-2020
APLLTD,EQ,648.0,654.2,637.65,644.0,644.0,643.35,119579,17-FEB-2020
APLLTD,EQ,642.0,653.0,638.0,643.35,645.0,639.15,276921,14-FEB-2020
APLLTD,EQ,648.85,657.0,636.0,639.15,637.6,649.2,263542,13-FEB-2020
APLLTD,EQ,650.0,659.0,642.7,649.2,646.85,649.15,321126,12-FEB-2020
APLLTD,EQ,640.15,654.0,640.15,649.15,650.0,643.0,144075,11-FEB-2020
APLLTD,EQ,644.95,647.9,633.05,643.0,641.0,645.55,136228,10-FEB-2020
