SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
APOLLOHOSP,EQ,1190.25,1400.4,1150.0,1362.95,1362.0,1180.1,2002361,20-MAR-2020
APOLLOHOSP,EQ,1195.1,1248.25,1052.35,1180.1,1182.0,1282.7,2412020,19-MAR-2020
APOLLOHOSP,EQ,1454.0,1454.0,1233.55,1282.7,1285.3,1426.75,1731138,18-MAR-2020
APOLLOHOSP,EQ,1492.8,1518.95,1415.45,1426.75,1430.0,1472.8,610719,17-MAR-2020
APOLLOHOSP,EQ,1431.0,1540.9,1363.35,1472.8,1485.0,1513.65,1197701,16-MAR-2020
APOLLOHOSP,EQ,1380.1,1598.5,1379.0,1513.65,1513.05,1508.0,828569,13-MAR-2020
APOLLOHOSP,EQ,1580.0,1590.05,1480.3,1508.0,1513.0,1629.25,1279868,12-MAR-2020
APOLLOHOSP,EQ,1629.0,1642.8,1611.0,1629.25,1623.0,1640.9,617559,11-MAR-2020
APOLLOHOSP,EQ,1650.0,1671.75,1606.1,1640.9,1640.0,1688.9,486073,09-MAR-2020
APOLLOHOSP,EQ,1700.0,1710.0,1673.0,1688.9,1684.5,1727.2,498503,06-MAR-2020
APOLLOHOSP,EQ,1764.95,1768.85,1718.6,1727.2,1726.15,1755.25,661463,05-MAR-2020
APOLLOHOSP,EQ,1727.0,1772.0,1711.65,1755.25,1753.05,1725.7,1164850,04-MAR-2020
APOLLOHOSP,EQ,1738.9,1753.2,1695.0,1725.7,1726.8,1728.55,672514,03-MAR-2020
APOLLOHOSP,EQ,1750.0,1777.9,1711.2,1728.55,1725.0,1735.8,980080,02-MAR-2020
APOLLOHOSP,EQ,1780.5,1799.75,1726.1,1735.8,1748.0,1795.4,1234826,28-FEB-2020
APOLLOHOSP,EQ,1765.0,1803.0,1755.1,1795.4,1801.0,1767.2,919960,27-FEB-2020
APOLLOHOSP,EQ,1785.95,1796.95,1763.0,1767.2,1767.05,1790.45,494854,26-FEB-2020
APOLLOHOSP,EQ,1798.0,1810.0,1778.0,1790.45,1795.0,1797.45,459592,25-FEB-2020
APOLLOHOSP,EQ,1796.0,1813.55,1764.25,1797.45,1792.15,1800.7,708469,24-FEB-2020
APOLLOHOSP,EQ,1790.0,1813.45,1778.25,1800.7,1796.8,1780.5,799535,20-FEB-2020
APOLLOHOSP,EQ,1774.9,1792.6,1750.7,1780.5,1782.0,1774.9,1029649,19-FEB-2020
APOLLOHOSP,EQ,1716.0,1784.4,1704.8,1774.9,1773.3,1715.05,1860803,18-FEB-2020
APOLLOHOSP,EQ,1727.0,1737.0,1700.1,1715.05,1720.0,1704.4,808709,17-FEB-2020
APOLLOHOSP,EQ,1721.0,1747.7,1674.45,1704.4,1700.0,1695.5,3179224,14-FEB-2020
APOLLOHOSP,EQ,1675.0,1707.0,1655.0,1695.5,1703.75,1683.6,902548,13-FEB-2020
APOLLOHOSP,EQ,1705.0,1716.95,1670.55,1683.6,1681.9,1697.95,728165,12-FEB-2020
APOLLOHOSP,EQ,1670.5,1702.9,1669.0,1697.95,1701.95,1665.7,606839,11-FEB-2020
APOLLOHOSP,EQ,1663.0,1701.6,1634.5,1665.7,1669.95,1663.15,778081,10-FEB-2020
