SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
APOLLOTYRE,EQ,87.15,92.75,84.75,88.85,88.5,86.2,6206412,20-MAR-2020
APOLLOTYRE,EQ,86.0,91.35,83.65,86.2,86.2,89.4,4347529,19-MAR-2020
APOLLOTYRE,EQ,96.8,97.7,88.0,89.4,88.7,93.6,4290015,18-MAR-2020
APOLLOTYRE,EQ,97.0,101.5,92.5,93.6,92.5,97.6,3631679,17-MAR-2020
APOLLOTYRE,EQ,101.7,102.3,96.7,97.6,97.0,104.15,4868452,16-MAR-2020
APOLLOTYRE,EQ,90.15,105.2,88.0,104.15,103.3,100.15,5393173,13-MAR-2020
APOLLOTYRE,EQ,104.0,107.95,96.7,100.15,100.15,115.0,11277969,12-MAR-2020
APOLLOTYRE,EQ,126.4,127.35,114.1,115.0,114.1,126.75,9176088,11-MAR-2020
APOLLOTYRE,EQ,132.65,133.0,125.35,126.75,126.2,135.3,3080810,09-MAR-2020
APOLLOTYRE,EQ,135.0,136.5,131.25,135.3,134.2,139.25,4712533,06-MAR-2020
APOLLOTYRE,EQ,140.65,142.65,138.65,139.25,139.2,139.95,3841282,05-MAR-2020
APOLLOTYRE,EQ,138.95,140.65,136.5,139.95,139.6,141.75,4106501,04-MAR-2020
APOLLOTYRE,EQ,138.0,142.9,136.55,141.75,141.3,136.3,4006039,03-MAR-2020
APOLLOTYRE,EQ,145.0,145.8,134.55,136.3,136.75,142.8,7509876,02-MAR-2020
APOLLOTYRE,EQ,146.0,147.0,141.0,142.8,142.7,150.3,6020812,28-FEB-2020
APOLLOTYRE,EQ,149.55,151.7,145.5,150.3,150.15,148.7,5186981,27-FEB-2020
APOLLOTYRE,EQ,153.7,158.0,146.4,148.7,149.0,154.4,8017307,26-FEB-2020
APOLLOTYRE,EQ,152.9,155.7,150.3,154.4,154.5,151.95,2419330,25-FEB-2020
APOLLOTYRE,EQ,157.95,157.95,151.5,151.95,151.7,158.0,2427071,24-FEB-2020
APOLLOTYRE,EQ,150.6,159.2,149.75,158.0,158.35,150.8,6419252,20-FEB-2020
APOLLOTYRE,EQ,152.1,153.15,150.35,150.8,150.6,151.35,3867262,19-FEB-2020
APOLLOTYRE,EQ,154.9,154.9,150.35,151.35,151.2,154.45,3980792,18-FEB-2020
APOLLOTYRE,EQ,159.3,159.3,153.35,154.45,154.45,159.05,2621877,17-FEB-2020
APOLLOTYRE,EQ,161.8,163.25,158.3,159.05,159.05,161.25,1605188,14-FEB-2020
APOLLOTYRE,EQ,162.1,162.55,160.0,161.25,161.55,161.95,1501341,13-FEB-2020
APOLLOTYRE,EQ,161.7,162.7,160.25,161.95,161.85,161.4,1714945,12-FEB-2020
APOLLOTYRE,EQ,163.2,164.5,160.75,161.4,161.35,162.1,1568825,11-FEB-2020
APOLLOTYRE,EQ,163.6,164.45,159.65,162.1,162.1,164.0,3784007,10-FEB-2020
