SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ARIHANTSUP,EQ,19.75,21.75,19.75,20.45,20.95,20.75,236,20-MAR-2020
ARIHANTSUP,EQ,21.55,21.55,19.55,20.75,21.45,20.55,5252,19-MAR-2020
ARIHANTSUP,EQ,20.55,22.55,20.55,20.55,21.45,21.6,3339,18-MAR-2020
ARIHANTSUP,EQ,21.0,21.6,20.6,21.6,21.6,21.65,217,17-MAR-2020
ARIHANTSUP,EQ,22.0,22.5,20.45,21.65,22.35,21.5,3636,16-MAR-2020
ARIHANTSUP,EQ,21.5,22.0,21.2,21.5,22.0,21.55,7615,13-MAR-2020
ARIHANTSUP,EQ,22.0,22.0,21.4,21.55,22.0,22.5,1259,12-MAR-2020
ARIHANTSUP,EQ,22.9,22.9,21.85,22.5,22.5,22.95,4774,11-MAR-2020
ARIHANTSUP,EQ,24.15,24.15,22.95,22.95,22.95,24.15,2805,09-MAR-2020
ARIHANTSUP,EQ,24.15,24.15,24.15,24.15,24.15,24.15,25,06-MAR-2020
ARIHANTSUP,EQ,23.5,24.2,23.5,24.15,24.15,24.7,342,05-MAR-2020
ARIHANTSUP,EQ,25.65,25.65,23.75,24.7,24.7,24.95,1007,04-MAR-2020
ARIHANTSUP,EQ,24.95,24.95,24.95,24.95,24.95,25.3,100,03-MAR-2020
ARIHANTSUP,EQ,23.35,25.5,23.25,25.3,25.3,24.45,1251,02-MAR-2020
ARIHANTSUP,EQ,24.65,24.65,23.5,24.45,24.45,24.65,166,28-FEB-2020
ARIHANTSUP,EQ,26.9,26.9,24.65,24.65,24.65,25.9,1319,27-FEB-2020
ARIHANTSUP,EQ,24.85,25.9,24.85,25.9,25.9,25.8,342,26-FEB-2020
ARIHANTSUP,EQ,25.95,27.75,25.6,25.8,26.8,26.8,84102,25-FEB-2020
ARIHANTSUP,EQ,26.8,26.8,26.8,26.8,26.8,28.0,1978,24-FEB-2020
ARIHANTSUP,EQ,28.5,29.5,28.0,28.0,28.0,28.1,1536,20-FEB-2020
ARIHANTSUP,EQ,28.35,28.35,25.8,28.1,28.1,27.0,361,19-FEB-2020
ARIHANTSUP,EQ,26.0,27.0,25.65,27.0,27.0,27.0,1580,18-FEB-2020
ARIHANTSUP,EQ,27.3,27.3,25.95,27.0,27.0,27.3,479,17-FEB-2020
ARIHANTSUP,EQ,27.25,29.0,27.1,27.3,28.5,28.5,525,14-FEB-2020
ARIHANTSUP,EQ,27.25,28.5,27.2,28.5,28.5,28.55,938,13-FEB-2020
ARIHANTSUP,EQ,29.9,29.95,28.55,28.55,28.55,28.55,1063,12-FEB-2020
ARIHANTSUP,EQ,26.15,28.55,26.15,28.55,28.55,27.2,2001,11-FEB-2020
ARIHANTSUP,EQ,25.6,27.7,25.5,27.2,27.0,26.8,1690,10-FEB-2020
