SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ARSSINFRA,EQ,10.05,11.65,9.85,11.5,11.6,10.2,26808,20-MAR-2020
ARSSINFRA,EQ,11.9,12.3,9.65,10.2,10.0,11.55,42413,19-MAR-2020
ARSSINFRA,EQ,12.5,13.8,11.05,11.55,11.3,12.25,22846,18-MAR-2020
ARSSINFRA,EQ,11.5,13.7,11.0,12.25,12.2,11.5,22018,17-MAR-2020
ARSSINFRA,EQ,13.9,13.9,11.25,11.5,11.5,14.05,66029,16-MAR-2020
ARSSINFRA,EQ,14.35,14.6,10.05,14.05,14.2,12.35,98425,13-MAR-2020
ARSSINFRA,EQ,14.0,14.0,11.8,12.35,13.25,14.2,23073,12-MAR-2020
ARSSINFRA,EQ,13.1,14.65,13.05,14.2,14.25,14.0,4356,11-MAR-2020
ARSSINFRA,EQ,13.85,15.4,13.1,14.0,13.75,14.55,16750,09-MAR-2020
ARSSINFRA,EQ,15.3,15.3,13.9,14.55,15.2,15.35,24431,06-MAR-2020
ARSSINFRA,EQ,14.8,15.45,14.5,15.35,15.45,14.8,10779,05-MAR-2020
ARSSINFRA,EQ,16.0,16.25,14.6,14.8,14.65,15.25,30597,04-MAR-2020
ARSSINFRA,EQ,13.25,16.0,13.25,15.25,15.6,14.65,33169,03-MAR-2020
ARSSINFRA,EQ,13.35,15.2,13.35,14.65,14.6,14.15,26914,02-MAR-2020
ARSSINFRA,EQ,14.2,15.4,12.6,14.15,15.4,14.3,46150,28-FEB-2020
ARSSINFRA,EQ,14.55,15.3,13.6,14.3,14.2,15.1,14611,27-FEB-2020
ARSSINFRA,EQ,15.35,15.7,14.85,15.1,14.9,15.35,10888,26-FEB-2020
ARSSINFRA,EQ,16.4,16.4,15.15,15.35,15.35,15.95,11105,25-FEB-2020
ARSSINFRA,EQ,16.5,16.5,15.55,15.95,16.25,15.35,27571,24-FEB-2020
ARSSINFRA,EQ,16.1,16.4,15.2,15.35,15.75,16.1,40822,20-FEB-2020
ARSSINFRA,EQ,13.95,16.7,13.8,16.1,15.85,13.95,358007,19-FEB-2020
ARSSINFRA,EQ,16.0,16.0,13.7,13.95,14.0,15.7,60129,18-FEB-2020
ARSSINFRA,EQ,16.1,17.15,15.6,15.7,15.65,16.55,16676,17-FEB-2020
ARSSINFRA,EQ,17.9,17.9,16.25,16.55,16.35,16.8,19156,14-FEB-2020
ARSSINFRA,EQ,18.0,18.4,16.5,16.8,17.2,18.15,39740,13-FEB-2020
ARSSINFRA,EQ,19.0,19.0,18.05,18.15,18.1,18.95,14077,12-FEB-2020
ARSSINFRA,EQ,19.05,19.85,18.7,18.95,19.0,19.3,33118,11-FEB-2020
ARSSINFRA,EQ,20.2,21.0,18.95,19.3,18.95,20.4,26266,10-FEB-2020
