SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ARVIND,EQ,24.0,24.0,22.9,23.55,23.6,23.45,958654,20-MAR-2020
ARVIND,EQ,25.1,26.0,23.3,23.45,23.45,26.15,1305934,19-MAR-2020
ARVIND,EQ,29.5,29.5,26.0,26.15,26.5,28.2,747512,18-MAR-2020
ARVIND,EQ,29.1,30.2,28.0,28.2,28.1,29.25,730532,17-MAR-2020
ARVIND,EQ,29.5,30.95,29.0,29.25,29.3,31.75,884008,16-MAR-2020
ARVIND,EQ,27.65,32.55,25.75,31.75,31.5,32.05,1265518,13-MAR-2020
ARVIND,EQ,33.5,33.5,31.5,32.05,32.3,34.6,927839,12-MAR-2020
ARVIND,EQ,34.0,34.8,33.9,34.6,34.2,33.8,727279,11-MAR-2020
ARVIND,EQ,34.6,34.9,33.5,33.8,33.65,35.3,891252,09-MAR-2020
ARVIND,EQ,35.65,35.9,35.0,35.3,35.25,36.7,662011,06-MAR-2020
ARVIND,EQ,36.6,37.9,36.4,36.7,36.7,36.6,510757,05-MAR-2020
ARVIND,EQ,38.0,38.3,36.25,36.6,36.5,37.9,571451,04-MAR-2020
ARVIND,EQ,38.6,39.0,37.6,37.9,37.8,38.6,541278,03-MAR-2020
ARVIND,EQ,37.5,39.2,37.5,38.6,38.3,37.3,850968,02-MAR-2020
ARVIND,EQ,37.9,38.5,36.9,37.3,37.5,38.6,908897,28-FEB-2020
ARVIND,EQ,38.75,39.0,38.25,38.6,38.6,38.55,544868,27-FEB-2020
ARVIND,EQ,38.65,39.5,38.3,38.55,38.45,38.7,822245,26-FEB-2020
ARVIND,EQ,38.5,39.15,38.1,38.7,38.65,38.6,494965,25-FEB-2020
ARVIND,EQ,39.3,39.3,38.45,38.6,38.5,39.45,417094,24-FEB-2020
ARVIND,EQ,39.5,40.5,39.1,39.45,39.45,39.3,784877,20-FEB-2020
ARVIND,EQ,38.4,39.6,38.35,39.3,39.2,38.4,635759,19-FEB-2020
ARVIND,EQ,38.55,38.7,38.05,38.4,38.35,38.55,1030931,18-FEB-2020
ARVIND,EQ,38.2,39.05,37.95,38.55,38.8,38.2,1094902,17-FEB-2020
ARVIND,EQ,38.2,38.55,38.0,38.2,38.1,38.2,439033,14-FEB-2020
ARVIND,EQ,38.45,38.55,38.0,38.2,38.1,38.45,576254,13-FEB-2020
ARVIND,EQ,38.85,38.85,38.1,38.45,38.5,38.4,735842,12-FEB-2020
ARVIND,EQ,39.6,39.85,38.0,38.4,38.55,39.45,1395695,11-FEB-2020
ARVIND,EQ,39.8,40.05,39.2,39.45,39.5,40.2,965048,10-FEB-2020
