SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ASALCBR,EQ,142.0,158.0,138.0,147.1,148.15,140.15,15993,20-MAR-2020
ASALCBR,EQ,145.95,151.0,131.55,140.15,136.5,146.35,19449,19-MAR-2020
ASALCBR,EQ,145.1,151.95,138.1,146.35,142.55,145.1,16189,18-MAR-2020
ASALCBR,EQ,154.95,154.95,139.2,145.1,148.9,149.8,17006,17-MAR-2020
ASALCBR,EQ,159.0,160.05,149.0,149.8,149.0,161.05,20133,16-MAR-2020
ASALCBR,EQ,151.05,177.0,131.3,161.05,164.0,164.05,40487,13-MAR-2020
ASALCBR,EQ,183.0,183.05,161.25,164.05,163.0,187.15,24941,12-MAR-2020
ASALCBR,EQ,184.0,198.0,180.05,187.15,187.6,184.25,21416,11-MAR-2020
ASALCBR,EQ,190.35,190.35,176.45,184.25,183.0,197.85,23270,09-MAR-2020
ASALCBR,EQ,186.75,200.0,180.15,197.85,197.0,200.55,24519,06-MAR-2020
ASALCBR,EQ,199.7,204.55,191.0,200.55,200.45,198.2,28153,05-MAR-2020
ASALCBR,EQ,206.0,208.0,197.0,198.2,197.1,204.9,16976,04-MAR-2020
ASALCBR,EQ,215.1,229.95,199.8,204.9,205.0,213.65,23245,03-MAR-2020
ASALCBR,EQ,225.0,229.0,210.15,213.65,214.95,217.9,17135,02-MAR-2020
ASALCBR,EQ,221.35,225.85,215.1,217.9,221.0,232.6,24073,28-FEB-2020
ASALCBR,EQ,235.0,236.9,191.0,232.6,234.9,235.8,42244,27-FEB-2020
ASALCBR,EQ,244.95,244.95,227.15,235.8,235.1,245.2,34277,26-FEB-2020
ASALCBR,EQ,248.0,255.0,245.0,245.2,246.45,248.65,15006,25-FEB-2020
ASALCBR,EQ,261.4,261.4,246.05,248.65,248.7,256.3,15553,24-FEB-2020
ASALCBR,EQ,263.0,265.0,254.95,256.3,258.9,261.95,17903,20-FEB-2020
ASALCBR,EQ,264.95,269.45,260.45,261.95,261.55,260.2,33961,19-FEB-2020
ASALCBR,EQ,269.0,269.9,247.5,260.2,264.25,267.7,38558,18-FEB-2020
ASALCBR,EQ,280.7,297.75,265.0,267.7,266.0,272.75,58283,17-FEB-2020
ASALCBR,EQ,265.05,284.4,265.0,272.75,272.0,263.75,79240,14-FEB-2020
ASALCBR,EQ,269.95,269.95,257.6,263.75,263.5,268.35,48266,13-FEB-2020
ASALCBR,EQ,281.0,291.8,242.55,268.35,269.0,273.9,231338,12-FEB-2020
