SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ASHIANA,EQ,54.3,58.0,54.05,55.0,56.8,54.0,164031,20-MAR-2020
ASHIANA,EQ,56.1,60.25,52.0,54.0,54.0,62.0,125531,19-MAR-2020
ASHIANA,EQ,62.6,71.5,57.55,62.0,64.0,63.4,210947,18-MAR-2020
ASHIANA,EQ,73.25,73.3,61.1,63.4,65.5,73.4,109375,17-MAR-2020
ASHIANA,EQ,76.4,86.6,72.05,73.4,72.5,76.4,64088,16-MAR-2020
ASHIANA,EQ,80.5,80.5,68.0,76.4,77.4,82.75,103302,13-MAR-2020
ASHIANA,EQ,80.85,84.95,80.0,82.75,83.5,88.35,83134,12-MAR-2020
ASHIANA,EQ,88.05,89.55,87.3,88.35,88.0,87.8,39741,11-MAR-2020
ASHIANA,EQ,88.75,89.8,86.85,87.8,88.6,88.95,53434,09-MAR-2020
ASHIANA,EQ,90.0,92.0,85.65,88.95,88.3,91.5,35224,06-MAR-2020
ASHIANA,EQ,93.75,95.9,89.1,91.5,92.95,92.0,304629,05-MAR-2020
ASHIANA,EQ,100.2,100.2,90.55,92.0,92.0,97.9,207693,04-MAR-2020
ASHIANA,EQ,101.85,101.85,97.05,97.9,97.7,100.0,70249,03-MAR-2020
ASHIANA,EQ,102.9,102.9,98.1,100.0,100.0,102.05,73761,02-MAR-2020
ASHIANA,EQ,100.0,103.2,97.05,102.05,102.05,102.3,105877,28-FEB-2020
ASHIANA,EQ,101.9,103.3,100.0,102.3,102.0,102.05,55717,27-FEB-2020
ASHIANA,EQ,102.1,103.65,100.05,102.05,102.15,103.1,37163,26-FEB-2020
ASHIANA,EQ,103.1,103.8,102.65,103.1,102.65,102.4,30231,25-FEB-2020
ASHIANA,EQ,103.05,104.5,102.15,102.4,102.95,103.05,27836,24-FEB-2020
ASHIANA,EQ,104.3,106.0,102.5,103.05,103.0,105.05,29216,20-FEB-2020
ASHIANA,EQ,106.0,106.65,104.3,105.05,104.5,105.5,54617,19-FEB-2020
ASHIANA,EQ,106.0,106.8,103.5,105.5,106.05,106.0,25258,18-FEB-2020
ASHIANA,EQ,108.95,109.0,103.0,106.0,106.3,108.15,42231,17-FEB-2020
ASHIANA,EQ,108.3,109.95,106.2,108.15,108.5,108.3,21067,14-FEB-2020
ASHIANA,EQ,104.8,125.8,104.3,108.3,109.85,104.85,108650,13-FEB-2020
ASHIANA,EQ,107.35,109.0,103.75,104.85,103.75,103.1,42092,12-FEB-2020
ASHIANA,EQ,102.95,104.1,101.15,103.1,103.05,102.3,37813,11-FEB-2020
ASHIANA,EQ,105.95,105.95,101.0,102.3,102.0,105.05,25560,10-FEB-2020
