SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ASHOKLEY,EQ,49.2,49.4,41.1,43.95,44.1,48.05,96051793,20-MAR-2020
ASHOKLEY,EQ,57.4,57.4,47.1,48.05,47.5,64.25,83216053,19-MAR-2020
ASHOKLEY,EQ,65.4,65.9,63.0,64.25,64.3,64.15,18056166,18-MAR-2020
ASHOKLEY,EQ,63.5,66.05,61.9,64.15,64.45,63.35,19650737,17-MAR-2020
ASHOKLEY,EQ,62.2,66.0,62.0,63.35,63.1,66.7,17219357,16-MAR-2020
ASHOKLEY,EQ,57.0,68.5,52.0,66.7,66.75,63.3,28001373,13-MAR-2020
ASHOKLEY,EQ,65.0,65.35,60.55,63.3,63.15,68.55,29551162,12-MAR-2020
ASHOKLEY,EQ,69.2,70.1,67.95,68.55,68.3,68.85,22237389,11-MAR-2020
ASHOKLEY,EQ,68.05,71.35,67.8,68.85,68.85,71.2,22970214,09-MAR-2020
ASHOKLEY,EQ,68.95,71.8,66.2,71.2,71.45,71.8,21046275,06-MAR-2020
ASHOKLEY,EQ,73.05,74.1,70.85,71.8,71.5,72.45,33516020,05-MAR-2020
ASHOKLEY,EQ,76.25,76.25,70.8,72.45,72.55,75.45,28071315,04-MAR-2020
ASHOKLEY,EQ,74.1,77.0,72.65,75.45,75.75,73.9,23998122,03-MAR-2020
ASHOKLEY,EQ,71.5,74.95,71.05,73.9,74.75,69.9,39273874,02-MAR-2020
ASHOKLEY,EQ,73.0,73.95,69.5,69.9,69.95,76.0,35814841,28-FEB-2020
ASHOKLEY,EQ,77.9,78.15,74.75,76.0,76.05,77.95,32696106,27-FEB-2020
ASHOKLEY,EQ,80.65,81.9,77.6,77.95,77.9,80.65,32981809,26-FEB-2020
ASHOKLEY,EQ,85.0,86.35,80.1,80.65,81.4,84.95,44612516,25-FEB-2020
ASHOKLEY,EQ,83.0,86.2,82.6,84.95,84.5,84.3,30055176,24-FEB-2020
ASHOKLEY,EQ,81.3,84.65,81.2,84.3,84.3,81.25,28489436,20-FEB-2020
ASHOKLEY,EQ,80.45,81.75,79.75,81.25,81.55,80.25,17146555,19-FEB-2020
ASHOKLEY,EQ,81.0,81.5,79.15,80.25,80.5,81.55,18476820,18-FEB-2020
ASHOKLEY,EQ,80.25,82.7,79.6,81.55,81.65,80.25,19342729,17-FEB-2020
ASHOKLEY,EQ,81.4,81.55,79.7,80.25,80.4,81.55,20290024,14-FEB-2020
ASHOKLEY,EQ,77.9,82.9,77.9,81.55,81.5,81.35,42465314,13-FEB-2020
ASHOKLEY,EQ,83.0,83.3,81.05,81.35,81.35,82.9,15046483,12-FEB-2020
ASHOKLEY,EQ,83.5,84.45,82.6,82.9,82.85,82.95,14986558,11-FEB-2020
ASHOKLEY,EQ,83.55,84.45,81.9,82.95,83.0,83.75,20133624,10-FEB-2020
