SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ASIANHOTNR,EQ,63.3,69.9,59.05,67.45,69.85,65.0,33935,20-MAR-2020
ASIANHOTNR,EQ,62.35,66.45,62.3,65.0,64.0,64.85,31827,19-MAR-2020
ASIANHOTNR,EQ,64.05,67.35,64.0,64.85,64.8,64.85,641,18-MAR-2020
ASIANHOTNR,EQ,69.0,69.0,64.5,64.85,64.8,65.05,225668,17-MAR-2020
ASIANHOTNR,EQ,64.0,70.1,63.0,65.05,66.2,65.55,298278,16-MAR-2020
ASIANHOTNR,EQ,62.0,67.4,61.65,65.55,65.2,63.35,324986,13-MAR-2020
ASIANHOTNR,EQ,67.5,72.7,60.0,63.35,63.8,64.9,29912,12-MAR-2020
ASIANHOTNR,EQ,68.15,70.9,61.2,64.9,64.0,63.75,424203,11-MAR-2020
ASIANHOTNR,EQ,65.75,65.8,60.05,63.75,62.25,63.25,202439,09-MAR-2020
ASIANHOTNR,EQ,65.0,71.85,62.55,63.25,63.15,70.15,460866,06-MAR-2020
ASIANHOTNR,EQ,70.1,75.0,68.0,70.15,68.0,74.6,906,05-MAR-2020
ASIANHOTNR,EQ,75.95,75.95,70.0,74.6,75.0,72.95,665,04-MAR-2020
ASIANHOTNR,EQ,67.55,74.95,67.25,72.95,71.4,70.0,108294,03-MAR-2020
ASIANHOTNR,EQ,71.0,75.0,70.0,70.0,70.0,68.05,1367,02-MAR-2020
ASIANHOTNR,EQ,73.0,76.3,65.0,68.05,68.0,74.3,43886,28-FEB-2020
ASIANHOTNR,EQ,75.0,76.3,74.0,74.3,74.1,76.4,1238,27-FEB-2020
ASIANHOTNR,EQ,79.45,79.45,72.3,76.4,76.45,77.0,718,26-FEB-2020
ASIANHOTNR,EQ,78.8,79.45,74.7,77.0,78.7,78.0,5768,25-FEB-2020
ASIANHOTNR,EQ,71.1,80.2,71.1,78.0,78.8,76.65,3725,24-FEB-2020
ASIANHOTNR,EQ,74.05,78.9,74.0,76.65,77.9,73.85,3744,20-FEB-2020
ASIANHOTNR,EQ,80.0,84.8,66.25,73.85,74.0,82.8,16072,19-FEB-2020
ASIANHOTNR,EQ,86.95,86.95,79.45,82.8,82.65,82.0,1568,18-FEB-2020
ASIANHOTNR,EQ,85.4,85.4,80.0,82.0,80.0,83.75,2185,17-FEB-2020
ASIANHOTNR,EQ,84.45,87.3,83.0,83.75,83.0,85.8,1184,14-FEB-2020
ASIANHOTNR,EQ,82.05,89.7,82.05,85.8,85.8,85.5,4538,13-FEB-2020
ASIANHOTNR,EQ,86.75,87.55,83.55,85.5,87.0,86.75,1327,12-FEB-2020
ASIANHOTNR,EQ,86.0,89.95,85.0,86.75,89.95,85.7,1271,11-FEB-2020
ASIANHOTNR,EQ,89.8,89.8,83.1,85.7,83.1,89.75,1308,10-FEB-2020
