SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ASPINWALL,EQ,102.5,109.0,82.5,86.85,85.1,92.35,1104,20-MAR-2020
ASPINWALL,EQ,98.0,101.0,86.05,92.35,86.95,107.2,908,19-MAR-2020
ASPINWALL,EQ,107.15,107.2,98.0,107.2,107.2,107.2,112,18-MAR-2020
ASPINWALL,EQ,118.0,118.0,101.95,107.2,101.95,113.95,182,17-MAR-2020
ASPINWALL,EQ,117.25,117.25,100.05,113.95,106.05,112.0,10957,16-MAR-2020
ASPINWALL,EQ,120.0,120.0,97.55,112.0,112.2,101.05,8997,13-MAR-2020
ASPINWALL,EQ,117.0,117.0,101.0,101.05,101.0,118.0,2071,12-MAR-2020
ASPINWALL,EQ,115.9,119.9,110.05,118.0,118.75,108.3,181,11-MAR-2020
ASPINWALL,EQ,107.0,119.9,107.0,108.3,108.0,115.9,2190,09-MAR-2020
ASPINWALL,EQ,122.0,122.35,105.95,115.9,111.1,124.75,1959,06-MAR-2020
ASPINWALL,EQ,126.0,126.0,122.0,124.75,125.0,123.3,743,05-MAR-2020
ASPINWALL,EQ,125.0,125.0,117.05,123.3,123.5,121.0,452,04-MAR-2020
ASPINWALL,EQ,125.05,134.9,107.95,121.0,119.5,125.0,4967,03-MAR-2020
ASPINWALL,EQ,130.35,132.0,123.0,125.0,125.0,130.35,633,02-MAR-2020
ASPINWALL,EQ,133.95,134.0,123.5,130.35,131.0,133.1,6878,28-FEB-2020
ASPINWALL,EQ,133.0,134.5,132.05,133.1,132.05,134.5,209,27-FEB-2020
ASPINWALL,EQ,135.0,136.2,133.0,134.5,134.5,134.05,1183,26-FEB-2020
ASPINWALL,EQ,139.75,139.75,132.7,134.05,135.0,136.05,883,25-FEB-2020
ASPINWALL,EQ,141.95,142.0,136.0,136.05,136.0,136.25,93,24-FEB-2020
ASPINWALL,EQ,138.05,138.75,134.0,136.25,138.75,138.2,804,20-FEB-2020
ASPINWALL,EQ,140.0,140.0,135.75,138.2,140.0,138.7,400,19-FEB-2020
ASPINWALL,EQ,135.05,140.0,130.25,138.7,140.0,139.0,11866,18-FEB-2020
ASPINWALL,EQ,133.55,139.9,133.55,139.0,139.35,135.5,2044,17-FEB-2020
ASPINWALL,EQ,137.5,138.0,135.25,135.5,135.5,135.55,2635,14-FEB-2020
ASPINWALL,EQ,138.5,138.5,135.1,135.55,135.1,136.9,224,13-FEB-2020
ASPINWALL,EQ,143.0,143.0,136.55,136.9,136.55,139.8,457,12-FEB-2020
ASPINWALL,EQ,140.0,141.05,138.0,139.8,138.0,134.85,680,11-FEB-2020
ASPINWALL,EQ,139.05,148.9,131.95,134.85,140.0,141.95,3301,10-FEB-2020
