SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ASTRAMICRO,EQ,56.0,61.0,54.05,59.1,58.35,54.05,291089,20-MAR-2020
ASTRAMICRO,EQ,58.5,58.6,52.9,54.05,54.0,60.65,522463,19-MAR-2020
ASTRAMICRO,EQ,62.4,62.5,57.5,60.65,61.45,61.3,264382,18-MAR-2020
ASTRAMICRO,EQ,58.0,62.4,55.55,61.3,60.95,57.35,401355,17-MAR-2020
ASTRAMICRO,EQ,63.05,66.0,53.1,57.35,58.0,65.95,1155091,16-MAR-2020
ASTRAMICRO,EQ,60.95,66.65,56.05,65.95,66.3,70.05,1316028,13-MAR-2020
ASTRAMICRO,EQ,76.4,76.4,63.0,70.05,70.15,78.75,1189821,12-MAR-2020
ASTRAMICRO,EQ,80.7,83.45,75.0,78.75,78.85,80.7,711390,11-MAR-2020
ASTRAMICRO,EQ,82.5,82.5,79.6,80.7,81.65,83.7,194869,09-MAR-2020
ASTRAMICRO,EQ,81.6,85.0,81.0,83.7,83.0,84.75,118132,06-MAR-2020
ASTRAMICRO,EQ,85.1,86.5,83.8,84.75,84.8,85.25,128584,05-MAR-2020
ASTRAMICRO,EQ,89.85,89.85,83.85,85.25,85.0,88.45,306424,04-MAR-2020
ASTRAMICRO,EQ,87.85,90.0,85.5,88.45,89.0,84.05,203099,03-MAR-2020
ASTRAMICRO,EQ,89.0,90.7,82.7,84.05,84.5,87.5,226215,02-MAR-2020
ASTRAMICRO,EQ,90.9,90.9,87.1,87.5,87.5,91.7,351965,28-FEB-2020
ASTRAMICRO,EQ,93.0,94.0,91.1,91.7,92.2,92.65,167816,27-FEB-2020
ASTRAMICRO,EQ,94.2,95.75,91.85,92.65,92.8,95.9,436574,26-FEB-2020
ASTRAMICRO,EQ,99.0,100.45,95.5,95.9,95.55,98.0,480617,25-FEB-2020
ASTRAMICRO,EQ,97.9,103.5,97.1,98.0,97.75,98.95,2542104,24-FEB-2020
ASTRAMICRO,EQ,93.95,99.5,93.95,98.95,99.25,94.85,968452,20-FEB-2020
ASTRAMICRO,EQ,94.95,96.0,93.05,94.85,94.2,94.2,665925,19-FEB-2020
ASTRAMICRO,EQ,97.7,98.8,92.8,94.2,93.65,97.85,461897,18-FEB-2020
ASTRAMICRO,EQ,95.25,100.9,94.1,97.85,98.4,95.8,908794,17-FEB-2020
ASTRAMICRO,EQ,98.4,98.9,95.5,95.8,95.55,97.95,399975,14-FEB-2020
ASTRAMICRO,EQ,103.05,109.0,96.9,97.95,97.9,99.8,4989113,13-FEB-2020
ASTRAMICRO,EQ,97.2,101.5,96.95,99.8,100.9,98.0,714390,12-FEB-2020
ASTRAMICRO,EQ,98.1,100.9,97.15,98.0,97.9,98.05,368468,11-FEB-2020
ASTRAMICRO,EQ,94.4,100.25,94.35,98.05,99.3,95.05,510857,10-FEB-2020
