SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ASTRON,EQ,25.7,29.75,25.7,29.75,29.7,27.05,237798,20-MAR-2020
ASTRON,EQ,27.0,28.0,26.0,27.05,27.0,28.3,48063,19-MAR-2020
ASTRON,EQ,30.35,30.5,28.0,28.3,28.0,30.7,44446,18-MAR-2020
ASTRON,EQ,28.7,32.2,28.7,30.7,30.0,30.0,24480,17-MAR-2020
ASTRON,EQ,29.5,32.55,28.25,30.0,30.0,31.0,55975,16-MAR-2020
ASTRON,EQ,29.2,34.3,29.2,31.0,30.7,32.4,54835,13-MAR-2020
ASTRON,EQ,35.6,35.6,31.65,32.4,31.65,35.15,221514,12-MAR-2020
ASTRON,EQ,35.0,35.75,33.0,35.15,35.15,33.25,79284,11-MAR-2020
ASTRON,EQ,33.5,36.55,31.85,33.25,33.65,35.0,40933,09-MAR-2020
ASTRON,EQ,35.45,36.1,33.5,35.0,35.25,37.2,104958,06-MAR-2020
ASTRON,EQ,36.15,37.8,36.05,37.2,37.5,35.95,38995,05-MAR-2020
ASTRON,EQ,36.1,37.0,35.4,35.95,36.65,36.5,17757,04-MAR-2020
ASTRON,EQ,34.6,37.2,34.6,36.5,36.5,36.55,18884,03-MAR-2020
ASTRON,EQ,35.45,37.9,35.45,36.55,36.0,35.45,52025,02-MAR-2020
ASTRON,EQ,37.0,37.1,34.5,35.45,36.6,37.5,62296,28-FEB-2020
ASTRON,EQ,38.0,38.0,37.05,37.5,37.55,38.0,37177,27-FEB-2020
ASTRON,EQ,38.0,38.15,37.6,38.0,38.0,38.05,29378,26-FEB-2020
ASTRON,EQ,37.95,38.65,37.6,38.05,38.45,38.05,258709,25-FEB-2020
ASTRON,EQ,38.2,38.35,37.5,38.05,38.0,38.4,62239,24-FEB-2020
ASTRON,EQ,39.8,39.8,38.15,38.4,38.35,38.6,17299,20-FEB-2020
ASTRON,EQ,37.0,38.75,37.0,38.6,38.5,38.55,26886,19-FEB-2020
ASTRON,EQ,38.0,38.85,37.9,38.55,38.85,38.2,47321,18-FEB-2020
ASTRON,EQ,38.25,38.5,38.0,38.2,38.1,38.4,18017,17-FEB-2020
ASTRON,EQ,38.45,38.8,38.0,38.4,38.35,38.45,79171,14-FEB-2020
ASTRON,EQ,38.55,39.2,38.0,38.45,38.75,38.85,37044,13-FEB-2020
ASTRON,EQ,39.0,39.85,38.5,38.85,38.6,40.0,36847,12-FEB-2020
ASTRON,EQ,39.2,40.5,38.8,40.0,40.5,39.8,398905,11-FEB-2020
ASTRON,EQ,39.0,40.0,38.8,39.8,40.0,39.2,101995,10-FEB-2020
