SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
AUTOIND,EQ,11.5,11.5,11.5,11.5,11.5,12.1,3076,20-MAR-2020
AUTOIND,EQ,12.1,12.1,12.1,12.1,12.1,12.7,2690,19-MAR-2020
AUTOIND,EQ,12.7,12.7,12.7,12.7,12.7,13.35,7413,18-MAR-2020
AUTOIND,EQ,13.35,13.35,13.35,13.35,13.35,14.05,4127,17-MAR-2020
AUTOIND,EQ,14.05,14.05,14.05,14.05,14.05,14.75,4635,16-MAR-2020
AUTOIND,EQ,14.75,14.75,14.75,14.75,14.75,15.5,11204,13-MAR-2020
AUTOIND,EQ,15.5,16.2,15.5,15.5,15.5,16.3,4833,12-MAR-2020
AUTOIND,EQ,17.9,17.9,16.25,16.3,16.25,17.1,6463,11-MAR-2020
AUTOIND,EQ,16.85,17.25,16.05,17.1,17.25,16.85,11751,09-MAR-2020
AUTOIND,EQ,18.0,18.0,16.65,16.85,16.65,17.5,7680,06-MAR-2020
AUTOIND,EQ,17.25,18.15,17.2,17.5,18.0,17.3,5968,05-MAR-2020
AUTOIND,EQ,17.5,18.5,17.25,17.3,17.3,18.15,5883,04-MAR-2020
AUTOIND,BE,18.5,18.5,17.55,18.15,18.25,18.35,3802,03-MAR-2020
AUTOIND,BE,19.3,20.15,18.25,18.35,18.5,19.2,5647,02-MAR-2020
AUTOIND,BE,20.2,20.2,19.2,19.2,19.2,20.2,5514,28-FEB-2020
AUTOIND,BE,20.9,21.3,20.15,20.2,20.2,21.05,2884,27-FEB-2020
AUTOIND,BE,22.35,22.35,21.0,21.05,21.0,21.85,1316,26-FEB-2020
AUTOIND,BE,20.5,21.85,20.5,21.85,21.85,20.85,8696,25-FEB-2020
AUTOIND,BE,21.7,22.0,20.6,20.85,20.8,21.5,4730,24-FEB-2020
AUTOIND,BE,21.4,22.0,20.9,21.5,21.15,21.9,3021,20-FEB-2020
AUTOIND,BE,22.25,22.5,21.65,21.9,21.7,22.25,2025,19-FEB-2020
AUTOIND,BE,22.55,22.55,21.55,22.25,22.25,22.65,4905,18-FEB-2020
AUTOIND,BE,23.1,23.7,21.75,22.65,22.55,22.85,14757,17-FEB-2020
AUTOIND,BE,21.0,22.85,20.9,22.85,22.85,21.8,15722,14-FEB-2020
AUTOIND,BE,22.0,22.0,21.0,21.8,21.8,22.0,7880,13-FEB-2020
AUTOIND,BE,23.0,23.0,22.0,22.0,22.5,22.7,7689,12-FEB-2020
AUTOIND,BE,23.0,23.5,22.3,22.7,23.0,23.15,4117,11-FEB-2020
AUTOIND,BE,23.1,23.25,22.05,23.15,23.2,23.1,10850,10-FEB-2020
