SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
AXISCADES,EQ,34.3,34.3,31.5,31.75,31.5,32.7,56175,20-MAR-2020
AXISCADES,EQ,31.5,34.0,30.85,32.7,33.7,32.45,57640,19-MAR-2020
AXISCADES,EQ,34.1,35.35,32.45,32.45,32.45,34.15,24748,18-MAR-2020
AXISCADES,EQ,36.5,37.3,33.8,34.15,34.0,35.55,62342,17-MAR-2020
AXISCADES,EQ,35.55,36.4,35.55,35.55,35.55,37.4,96867,16-MAR-2020
AXISCADES,EQ,37.35,40.0,37.35,37.4,37.35,39.3,117488,13-MAR-2020
AXISCADES,EQ,39.3,39.9,39.3,39.3,39.3,41.35,16828,12-MAR-2020
AXISCADES,EQ,43.85,45.2,41.35,41.35,41.35,43.5,36162,11-MAR-2020
AXISCADES,EQ,42.8,44.9,42.8,43.5,43.8,45.05,31309,09-MAR-2020
AXISCADES,EQ,44.8,46.75,44.75,45.05,45.45,47.1,21137,06-MAR-2020
AXISCADES,EQ,49.15,50.0,46.65,47.1,47.6,49.1,51656,05-MAR-2020
AXISCADES,EQ,48.6,51.3,47.1,49.1,49.05,48.9,45903,04-MAR-2020
AXISCADES,BE,52.45,52.45,48.0,48.9,50.75,50.45,23087,03-MAR-2020
AXISCADES,BE,53.75,54.9,50.2,50.45,51.0,52.8,35960,02-MAR-2020
AXISCADES,BE,53.75,54.4,52.25,52.8,53.0,55.0,21603,28-FEB-2020
AXISCADES,BE,56.05,57.0,54.1,55.0,55.0,56.35,10973,27-FEB-2020
AXISCADES,BE,56.0,59.35,54.4,56.35,57.5,56.65,6320,26-FEB-2020
AXISCADES,BE,58.0,58.0,56.15,56.65,57.8,59.1,15167,25-FEB-2020
AXISCADES,BE,61.0,61.0,58.1,59.1,59.5,60.9,9635,24-FEB-2020
AXISCADES,BE,57.3,61.15,57.3,60.9,61.15,58.25,18127,20-FEB-2020
AXISCADES,BE,57.8,59.9,57.0,58.25,59.5,57.8,16205,19-FEB-2020
AXISCADES,BE,57.2,59.95,57.0,57.8,58.5,59.7,8746,18-FEB-2020
AXISCADES,BE,61.0,61.1,58.2,59.7,59.9,60.4,8780,17-FEB-2020
AXISCADES,BE,61.1,64.45,59.6,60.4,62.3,62.7,40646,14-FEB-2020
AXISCADES,BE,63.2,67.0,62.1,62.7,62.5,65.3,22424,13-FEB-2020
AXISCADES,BE,65.5,69.1,63.1,65.3,65.95,66.0,28375,12-FEB-2020
AXISCADES,BE,62.25,66.7,61.05,66.0,66.0,63.65,22491,11-FEB-2020
AXISCADES,BE,63.0,63.7,61.2,63.65,63.7,60.7,51533,10-FEB-2020
