SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BAJFINANCE,EQ,2799.85,3044.0,2621.65,2951.9,2950.0,2746.1,6110309,20-MAR-2020
BAJFINANCE,EQ,2800.0,3053.05,2484.7,2746.1,2755.25,3061.35,8324859,19-MAR-2020
BAJFINANCE,EQ,3490.0,3530.0,3018.9,3061.35,3077.3,3444.85,5443764,18-MAR-2020
BAJFINANCE,EQ,3702.1,3734.7,3402.0,3444.85,3448.95,3672.25,2558616,17-MAR-2020
BAJFINANCE,EQ,3833.45,3833.45,3600.0,3672.25,3658.3,3952.55,3140526,16-MAR-2020
BAJFINANCE,EQ,3440.0,4043.5,3281.05,3952.55,3965.0,3734.35,4849922,13-MAR-2020
BAJFINANCE,EQ,3860.0,3869.95,3628.1,3734.35,3729.0,4030.65,5272622,12-MAR-2020
BAJFINANCE,EQ,4014.0,4118.9,3985.0,4030.65,4039.0,4026.8,2793788,11-MAR-2020
BAJFINANCE,EQ,4070.0,4127.5,3945.15,4026.8,4040.0,4225.85,3545633,09-MAR-2020
BAJFINANCE,EQ,4125.0,4238.0,4036.5,4225.85,4238.0,4330.7,3312238,06-MAR-2020
BAJFINANCE,EQ,4310.0,4367.55,4273.15,4330.7,4334.0,4286.4,1833295,05-MAR-2020
BAJFINANCE,EQ,4466.0,4496.8,4225.0,4286.4,4279.9,4454.1,2472991,04-MAR-2020
BAJFINANCE,EQ,4400.0,4474.95,4320.05,4454.1,4462.9,4360.75,2023503,03-MAR-2020
BAJFINANCE,EQ,4600.0,4617.95,4305.65,4360.75,4364.0,4465.85,2238216,02-MAR-2020
BAJFINANCE,EQ,4640.0,4640.0,4311.75,4465.85,4500.0,4759.8,4941410,28-FEB-2020
BAJFINANCE,EQ,4815.0,4815.0,4712.1,4759.8,4763.5,4810.0,1174870,27-FEB-2020
BAJFINANCE,EQ,4815.0,4837.75,4767.25,4810.0,4814.55,4825.95,851346,26-FEB-2020
BAJFINANCE,EQ,4849.9,4849.9,4784.0,4825.95,4830.1,4803.95,959309,25-FEB-2020
BAJFINANCE,EQ,4840.0,4876.0,4751.2,4803.95,4816.0,4880.45,1263389,24-FEB-2020
BAJFINANCE,EQ,4867.9,4923.4,4853.75,4880.45,4888.0,4878.05,1634643,20-FEB-2020
BAJFINANCE,EQ,4785.0,4887.0,4780.1,4878.05,4878.0,4758.0,1172049,19-FEB-2020
BAJFINANCE,EQ,4769.4,4771.95,4701.6,4758.0,4770.0,4776.65,728611,18-FEB-2020
BAJFINANCE,EQ,4781.75,4798.0,4750.05,4776.65,4779.0,4781.75,716484,17-FEB-2020
BAJFINANCE,EQ,4800.0,4815.0,4768.0,4781.75,4785.0,4795.35,731118,14-FEB-2020
BAJFINANCE,EQ,4766.0,4800.6,4735.0,4795.35,4795.4,4768.7,681039,13-FEB-2020
BAJFINANCE,EQ,4770.0,4782.2,4722.0,4768.7,4780.0,4749.35,882964,12-FEB-2020
BAJFINANCE,EQ,4737.0,4785.0,4736.0,4749.35,4755.0,4721.75,1167429,11-FEB-2020
BAJFINANCE,EQ,4660.0,4734.0,4640.0,4721.75,4729.6,4654.3,1160879,10-FEB-2020
