SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BALKRISHNA,EQ,10.0,10.2,9.3,9.45,9.85,9.75,23762,20-MAR-2020
BALKRISHNA,EQ,10.6,10.6,9.65,9.75,9.7,10.15,3370,19-MAR-2020
BALKRISHNA,EQ,10.65,10.65,10.15,10.15,10.15,10.65,1235,18-MAR-2020
BALKRISHNA,EQ,10.8,10.8,10.65,10.65,10.65,11.2,3197,17-MAR-2020
BALKRISHNA,EQ,11.25,11.25,11.2,11.2,11.2,11.75,3340,16-MAR-2020
BALKRISHNA,EQ,11.75,11.75,11.75,11.75,11.75,12.35,1532,13-MAR-2020
BALKRISHNA,EQ,12.35,12.35,12.35,12.35,12.35,13.0,3403,12-MAR-2020
BALKRISHNA,EQ,13.65,13.65,13.0,13.0,13.0,13.65,7091,11-MAR-2020
BALKRISHNA,EQ,14.3,14.3,13.65,13.65,13.65,14.35,2149,09-MAR-2020
BALKRISHNA,EQ,15.4,15.4,14.35,14.35,14.35,15.1,1589,06-MAR-2020
BALKRISHNA,EQ,15.05,15.45,15.05,15.1,15.1,15.1,979,05-MAR-2020
BALKRISHNA,EQ,15.5,16.4,15.0,15.1,15.1,15.7,3480,04-MAR-2020
BALKRISHNA,EQ,15.5,15.75,15.0,15.7,15.75,15.75,2697,03-MAR-2020
BALKRISHNA,EQ,14.8,16.3,14.8,15.75,15.75,15.55,8598,02-MAR-2020
BALKRISHNA,EQ,16.0,16.0,15.2,15.55,15.2,16.0,7536,28-FEB-2020
BALKRISHNA,EQ,15.8,16.1,15.4,16.0,16.0,16.2,670,27-FEB-2020
BALKRISHNA,EQ,16.25,16.45,15.4,16.2,16.2,15.75,2185,26-FEB-2020
BALKRISHNA,EQ,15.5,16.45,15.2,15.75,15.7,16.0,610,25-FEB-2020
BALKRISHNA,EQ,16.25,16.65,15.45,16.0,16.05,16.25,3469,24-FEB-2020
BALKRISHNA,EQ,16.5,16.6,16.0,16.25,16.25,16.0,5538,20-FEB-2020
BALKRISHNA,EQ,16.4,16.4,15.1,16.0,15.95,15.7,4016,19-FEB-2020
BALKRISHNA,EQ,15.4,16.6,15.4,15.7,16.15,16.2,3722,18-FEB-2020
BALKRISHNA,EQ,16.35,16.4,15.05,16.2,16.0,15.65,3900,17-FEB-2020
BALKRISHNA,EQ,15.7,16.2,15.0,15.65,15.6,15.45,4308,14-FEB-2020
BALKRISHNA,EQ,16.05,16.05,15.05,15.45,15.6,15.4,3386,13-FEB-2020
BALKRISHNA,EQ,16.5,16.5,15.3,15.4,15.65,15.8,14749,12-FEB-2020
BALKRISHNA,EQ,16.35,16.75,15.75,15.8,16.3,16.35,4779,11-FEB-2020
BALKRISHNA,EQ,17.9,17.9,16.25,16.35,16.3,17.1,6245,10-FEB-2020
