SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BALPHARMA,EQ,25.3,28.9,25.25,27.4,26.65,26.4,6688,20-MAR-2020
BALPHARMA,EQ,26.0,27.0,24.2,26.4,26.8,26.8,7681,19-MAR-2020
BALPHARMA,EQ,30.0,30.0,26.55,26.8,27.05,28.3,7983,18-MAR-2020
BALPHARMA,EQ,28.0,29.7,27.0,28.3,28.0,28.0,11445,17-MAR-2020
BALPHARMA,EQ,30.0,30.0,27.5,28.0,28.0,30.05,19154,16-MAR-2020
BALPHARMA,EQ,29.25,32.95,25.45,30.05,30.1,31.8,17015,13-MAR-2020
BALPHARMA,EQ,33.3,34.55,30.7,31.8,32.4,36.3,18239,12-MAR-2020
BALPHARMA,EQ,34.25,37.0,34.2,36.3,36.95,35.45,7829,11-MAR-2020
BALPHARMA,EQ,36.0,36.0,33.55,35.45,34.5,36.6,19888,09-MAR-2020
BALPHARMA,EQ,36.05,37.5,33.85,36.6,36.7,37.7,7974,06-MAR-2020
BALPHARMA,EQ,37.5,39.8,37.4,37.7,37.4,38.0,2221,05-MAR-2020
BALPHARMA,EQ,38.5,39.0,37.3,38.0,38.25,38.45,2600,04-MAR-2020
BALPHARMA,EQ,39.95,41.85,37.8,38.45,38.5,38.45,4945,03-MAR-2020
BALPHARMA,EQ,40.0,42.4,37.55,38.45,37.65,39.05,7099,02-MAR-2020
BALPHARMA,EQ,40.9,42.95,38.0,39.05,38.75,40.55,22115,28-FEB-2020
BALPHARMA,EQ,35.65,44.0,35.65,40.55,40.9,37.7,60894,27-FEB-2020
BALPHARMA,EQ,37.05,39.0,35.1,37.7,37.55,37.0,9964,26-FEB-2020
BALPHARMA,EQ,37.95,38.15,37.0,37.0,37.0,37.6,3944,25-FEB-2020
BALPHARMA,EQ,38.25,38.95,37.5,37.6,37.65,38.25,8159,24-FEB-2020
BALPHARMA,EQ,39.25,39.65,38.0,38.25,38.05,39.25,3763,20-FEB-2020
BALPHARMA,EQ,38.6,40.6,38.6,39.25,39.1,39.7,9497,19-FEB-2020
BALPHARMA,EQ,40.3,41.15,39.0,39.7,39.3,40.4,6952,18-FEB-2020
BALPHARMA,EQ,41.45,42.5,40.0,40.4,40.45,41.85,6074,17-FEB-2020
BALPHARMA,EQ,43.65,44.8,41.1,41.85,42.1,42.3,6371,14-FEB-2020
BALPHARMA,EQ,44.05,44.05,40.6,42.3,42.7,44.15,13718,13-FEB-2020
BALPHARMA,EQ,43.25,45.45,43.2,44.15,43.65,43.5,11805,12-FEB-2020
BALPHARMA,EQ,43.95,44.9,43.15,43.5,43.15,43.7,6976,11-FEB-2020
BALPHARMA,EQ,43.25,44.95,43.25,43.7,43.65,44.95,6996,10-FEB-2020
