SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BANKBARODA,EQ,62.05,66.9,61.85,63.25,63.25,61.45,31616861,20-MAR-2020
BANKBARODA,EQ,60.3,69.0,60.2,61.45,62.05,65.15,40171354,19-MAR-2020
BANKBARODA,EQ,66.0,67.3,63.0,65.15,65.0,66.15,31395519,18-MAR-2020
BANKBARODA,EQ,63.8,69.6,62.15,66.15,64.65,63.7,31265474,17-MAR-2020
BANKBARODA,EQ,62.0,64.45,60.3,63.7,63.5,65.35,26404821,16-MAR-2020
BANKBARODA,EQ,51.05,66.35,46.5,65.35,66.2,56.65,47239305,13-MAR-2020
BANKBARODA,EQ,62.1,62.95,56.15,56.65,56.7,66.6,34996609,12-MAR-2020
BANKBARODA,EQ,69.75,70.65,65.3,66.6,65.4,69.35,26739880,11-MAR-2020
BANKBARODA,EQ,69.7,72.6,68.5,69.35,69.2,71.75,25784509,09-MAR-2020
BANKBARODA,EQ,69.8,72.65,68.75,71.75,71.6,73.65,22864611,06-MAR-2020
BANKBARODA,EQ,73.2,75.35,70.65,73.65,73.35,73.3,27590830,05-MAR-2020
BANKBARODA,EQ,73.05,74.15,71.25,73.3,73.4,72.9,24339350,04-MAR-2020
BANKBARODA,EQ,71.25,73.4,71.0,72.9,73.15,71.15,23348154,03-MAR-2020
BANKBARODA,EQ,77.5,78.35,70.35,71.15,70.9,76.3,40961015,02-MAR-2020
BANKBARODA,EQ,76.4,77.6,73.3,76.3,76.7,78.3,34963801,28-FEB-2020
BANKBARODA,EQ,80.0,80.35,77.2,78.3,78.0,80.2,23401192,27-FEB-2020
BANKBARODA,EQ,79.25,81.05,79.05,80.2,80.35,80.05,15584386,26-FEB-2020
BANKBARODA,EQ,80.5,81.2,79.4,80.05,80.1,79.9,13755466,25-FEB-2020
BANKBARODA,EQ,80.9,82.1,79.7,79.9,80.05,82.25,15685366,24-FEB-2020
BANKBARODA,EQ,80.35,83.25,80.3,82.25,82.3,81.1,18131343,20-FEB-2020
BANKBARODA,EQ,81.7,82.6,80.2,81.1,80.95,81.0,15937963,19-FEB-2020
BANKBARODA,EQ,82.25,82.4,78.2,81.0,81.0,82.3,28227097,18-FEB-2020
BANKBARODA,EQ,85.3,86.35,82.0,82.3,82.25,86.45,22256419,17-FEB-2020
BANKBARODA,EQ,88.15,88.95,86.1,86.45,86.4,88.05,15401905,14-FEB-2020
BANKBARODA,EQ,88.25,89.1,87.75,88.05,88.1,88.25,14891172,13-FEB-2020
BANKBARODA,EQ,90.55,91.2,87.55,88.25,88.25,90.35,15597107,12-FEB-2020
BANKBARODA,EQ,90.8,91.6,90.0,90.35,90.35,90.1,10892762,11-FEB-2020
BANKBARODA,EQ,91.85,92.3,89.6,90.1,90.1,92.05,12920134,10-FEB-2020
