SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BFUTILITIE,EQ,160.25,175.75,159.25,163.6,165.0,167.6,187010,20-MAR-2020
BFUTILITIE,EQ,167.6,167.6,167.6,167.6,167.6,176.4,11320,19-MAR-2020
BFUTILITIE,EQ,181.55,184.95,176.4,176.4,176.4,185.65,49345,18-MAR-2020
BFUTILITIE,EQ,195.0,195.0,185.65,185.65,185.65,195.4,99498,17-MAR-2020
BFUTILITIE,EQ,196.3,200.9,195.4,195.4,195.4,205.65,209209,16-MAR-2020
BFUTILITIE,EQ,198.5,218.1,198.5,205.65,205.0,220.55,384875,13-MAR-2020
BFUTILITIE,EQ,224.1,232.25,220.55,220.55,220.55,245.05,114746,12-MAR-2020
BFUTILITIE,EQ,250.9,261.4,241.55,245.05,243.3,249.65,247968,11-MAR-2020
BFUTILITIE,EQ,259.0,262.95,243.0,249.65,248.0,268.65,149584,09-MAR-2020
BFUTILITIE,EQ,270.4,273.7,262.2,268.65,269.0,282.05,134507,06-MAR-2020
BFUTILITIE,EQ,286.75,299.45,278.15,282.05,283.0,283.35,263877,05-MAR-2020
BFUTILITIE,EQ,300.0,308.15,273.0,283.35,279.0,288.8,448319,04-MAR-2020
BFUTILITIE,EQ,268.0,288.8,265.65,288.8,288.8,262.55,258083,03-MAR-2020
BFUTILITIE,EQ,284.0,285.0,252.8,262.55,264.0,272.9,139887,02-MAR-2020
BFUTILITIE,EQ,293.0,293.0,270.95,272.9,270.95,301.05,187624,28-FEB-2020
BFUTILITIE,EQ,308.0,310.3,298.0,301.05,301.0,307.45,95200,27-FEB-2020
BFUTILITIE,EQ,296.0,316.5,290.6,307.45,308.1,298.3,260555,26-FEB-2020
BFUTILITIE,EQ,300.0,305.0,294.0,298.3,303.0,302.8,119999,25-FEB-2020
BFUTILITIE,EQ,310.8,312.75,300.1,302.8,303.4,313.1,103984,24-FEB-2020
BFUTILITIE,EQ,315.8,320.4,309.95,313.1,312.6,315.85,185236,20-FEB-2020
BFUTILITIE,EQ,312.5,324.4,312.5,315.85,315.0,309.5,220202,19-FEB-2020
BFUTILITIE,EQ,314.0,314.5,306.0,309.5,308.5,315.65,169813,18-FEB-2020
BFUTILITIE,EQ,328.0,329.75,314.5,315.65,314.65,322.75,183602,17-FEB-2020
BFUTILITIE,EQ,327.5,337.5,318.25,322.75,322.0,326.25,376218,14-FEB-2020
BFUTILITIE,EQ,324.25,329.45,320.1,326.25,325.5,324.3,127636,13-FEB-2020
BFUTILITIE,EQ,335.05,337.4,322.0,324.3,324.25,333.25,174674,12-FEB-2020
BFUTILITIE,EQ,328.75,340.4,328.0,333.25,333.85,326.35,258555,11-FEB-2020
BFUTILITIE,EQ,324.0,338.0,316.25,326.35,326.0,321.4,272205,10-FEB-2020
