SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BGLOBAL,BE,1.1,1.1,1.1,1.1,1.1,1.15,7656,11-MAR-2020
BGLOBAL,BE,1.2,1.2,1.15,1.15,1.15,1.2,545,09-MAR-2020
BGLOBAL,BE,1.15,1.2,1.15,1.2,1.2,1.2,739,06-MAR-2020
BGLOBAL,BE,1.15,1.2,1.15,1.2,1.2,1.2,11751,05-MAR-2020
BGLOBAL,BE,1.15,1.2,1.15,1.2,1.2,1.2,5724,04-MAR-2020
BGLOBAL,BE,1.25,1.25,1.2,1.2,1.2,1.25,13679,03-MAR-2020
BGLOBAL,BE,1.2,1.25,1.2,1.25,1.2,1.25,5219,02-MAR-2020
BGLOBAL,BE,1.2,1.3,1.2,1.25,1.25,1.25,16977,28-FEB-2020
BGLOBAL,BE,1.25,1.25,1.25,1.25,1.25,1.3,2275,27-FEB-2020
BGLOBAL,BE,1.3,1.3,1.3,1.3,1.3,1.3,10775,26-FEB-2020
BGLOBAL,BE,1.3,1.3,1.25,1.3,1.3,1.3,16630,25-FEB-2020
BGLOBAL,BE,1.3,1.3,1.25,1.3,1.3,1.3,1164,24-FEB-2020
BGLOBAL,BE,1.3,1.35,1.25,1.3,1.25,1.3,3347,20-FEB-2020
BGLOBAL,BE,1.35,1.35,1.3,1.3,1.3,1.35,24553,19-FEB-2020
BGLOBAL,BE,1.4,1.4,1.35,1.35,1.35,1.4,13966,18-FEB-2020
BGLOBAL,BE,1.35,1.4,1.35,1.4,1.4,1.4,17656,17-FEB-2020
BGLOBAL,BE,1.4,1.4,1.35,1.4,1.4,1.4,3424,14-FEB-2020
BGLOBAL,BE,1.4,1.4,1.4,1.4,1.4,1.45,4201,13-FEB-2020
BGLOBAL,BE,1.45,1.45,1.4,1.45,1.45,1.45,1106,12-FEB-2020
BGLOBAL,BE,1.45,1.5,1.45,1.45,1.45,1.45,2305,11-FEB-2020
BGLOBAL,BE,1.35,1.45,1.35,1.45,1.45,1.4,7029,10-FEB-2020
