SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BHAGYANGR,EQ,13.3,15.5,13.3,14.35,14.2,13.25,3692,20-MAR-2020
BHAGYANGR,EQ,13.3,14.1,12.75,13.25,13.1,14.5,11133,19-MAR-2020
BHAGYANGR,EQ,15.25,15.3,14.2,14.5,14.55,15.5,32221,18-MAR-2020
BHAGYANGR,EQ,15.05,15.75,14.3,15.5,15.3,15.6,56633,17-MAR-2020
BHAGYANGR,EQ,16.05,16.85,14.55,15.6,15.25,16.95,65459,16-MAR-2020
BHAGYANGR,EQ,16.0,17.5,15.5,16.95,17.3,17.85,3084,13-MAR-2020
BHAGYANGR,EQ,16.1,19.4,14.25,17.85,18.0,16.55,22742,12-MAR-2020
BHAGYANGR,EQ,16.8,19.0,16.0,16.55,16.55,17.25,10369,11-MAR-2020
BHAGYANGR,EQ,17.25,18.8,17.0,17.25,17.15,18.2,2867,09-MAR-2020
BHAGYANGR,EQ,19.5,19.5,17.45,18.2,18.15,19.85,17422,06-MAR-2020
BHAGYANGR,EQ,19.45,21.8,19.25,19.85,19.55,18.45,25410,05-MAR-2020
BHAGYANGR,EQ,17.65,21.5,17.65,18.45,18.2,18.25,14925,04-MAR-2020
BHAGYANGR,EQ,18.05,19.5,17.4,18.25,18.25,18.55,1460,03-MAR-2020
BHAGYANGR,EQ,18.55,19.5,18.0,18.55,19.2,18.1,9132,02-MAR-2020
BHAGYANGR,EQ,18.1,19.2,18.0,18.1,18.0,19.05,3822,28-FEB-2020
BHAGYANGR,EQ,19.0,19.6,18.95,19.05,19.05,19.35,15547,27-FEB-2020
BHAGYANGR,EQ,19.0,19.95,18.7,19.35,19.95,19.0,11394,26-FEB-2020
BHAGYANGR,EQ,19.0,19.05,18.35,19.0,19.0,19.0,8230,25-FEB-2020
BHAGYANGR,EQ,19.0,19.3,18.65,19.0,19.0,18.85,10583,24-FEB-2020
BHAGYANGR,EQ,19.45,19.55,18.7,18.85,18.75,19.3,11757,20-FEB-2020
BHAGYANGR,EQ,20.85,20.85,19.1,19.3,19.15,19.15,9410,19-FEB-2020
BHAGYANGR,EQ,19.0,19.6,18.7,19.15,19.05,19.7,3715,18-FEB-2020
BHAGYANGR,EQ,21.5,21.8,19.0,19.7,19.3,19.0,4843,17-FEB-2020
BHAGYANGR,EQ,20.5,20.5,18.9,19.0,18.9,19.75,2994,14-FEB-2020
BHAGYANGR,EQ,18.85,20.0,18.8,19.75,19.9,19.05,7234,13-FEB-2020
BHAGYANGR,EQ,19.0,19.65,18.75,19.05,19.0,19.0,11279,12-FEB-2020
BHAGYANGR,EQ,19.55,19.55,18.65,19.0,19.0,19.45,8038,11-FEB-2020
BHAGYANGR,EQ,20.25,20.75,19.1,19.45,19.45,19.9,7074,10-FEB-2020
