SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BHANDARI,EQ,0.8,0.8,0.7,0.75,0.75,0.8,102214,20-MAR-2020
BHANDARI,EQ,0.8,0.8,0.7,0.8,0.8,0.8,88091,19-MAR-2020
BHANDARI,EQ,0.85,0.85,0.7,0.8,0.8,0.8,115705,18-MAR-2020
BHANDARI,EQ,0.85,0.85,0.75,0.8,0.85,0.85,72035,17-MAR-2020
BHANDARI,EQ,0.85,0.85,0.75,0.85,0.85,0.85,85272,16-MAR-2020
BHANDARI,EQ,0.8,0.85,0.7,0.85,0.85,0.8,191817,13-MAR-2020
BHANDARI,EQ,0.85,0.9,0.75,0.8,0.8,0.9,305359,12-MAR-2020
BHANDARI,EQ,0.85,0.95,0.85,0.9,0.95,0.9,80108,11-MAR-2020
BHANDARI,EQ,0.9,1.0,0.85,0.9,0.9,0.95,96526,09-MAR-2020
BHANDARI,EQ,0.95,1.0,0.9,0.95,1.0,0.95,110955,06-MAR-2020
BHANDARI,EQ,1.0,1.0,0.95,0.95,1.0,1.0,44918,05-MAR-2020
BHANDARI,EQ,1.0,1.0,0.95,1.0,1.0,0.95,45678,04-MAR-2020
BHANDARI,EQ,1.0,1.05,0.95,0.95,0.95,1.05,88339,03-MAR-2020
BHANDARI,EQ,1.05,1.05,1.0,1.05,1.05,1.05,78968,02-MAR-2020
BHANDARI,EQ,1.05,1.1,1.0,1.05,1.05,1.1,68520,28-FEB-2020
BHANDARI,EQ,1.05,1.15,1.05,1.1,1.1,1.05,183002,27-FEB-2020
BHANDARI,EQ,1.05,1.1,1.05,1.05,1.1,1.1,107536,26-FEB-2020
BHANDARI,EQ,1.1,1.15,1.05,1.1,1.1,1.15,91787,25-FEB-2020
BHANDARI,EQ,1.15,1.15,1.1,1.15,1.15,1.15,57119,24-FEB-2020
BHANDARI,EQ,1.2,1.2,1.1,1.15,1.15,1.1,156778,20-FEB-2020
BHANDARI,EQ,1.15,1.2,1.1,1.1,1.1,1.15,46698,19-FEB-2020
BHANDARI,EQ,1.2,1.25,1.1,1.15,1.2,1.2,147184,18-FEB-2020
BHANDARI,EQ,1.25,1.25,1.1,1.2,1.25,1.2,167320,17-FEB-2020
BHANDARI,EQ,1.15,1.25,1.05,1.2,1.25,1.1,210603,14-FEB-2020
BHANDARI,EQ,1.1,1.15,1.1,1.1,1.15,1.1,80988,13-FEB-2020
BHANDARI,EQ,1.1,1.15,1.1,1.1,1.15,1.15,49093,12-FEB-2020
BHANDARI,EQ,1.1,1.15,1.1,1.15,1.15,1.15,35772,11-FEB-2020
BHANDARI,EQ,1.1,1.15,1.1,1.15,1.15,1.1,40075,10-FEB-2020
