SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BHARTIARTL,EQ,445.0,472.0,436.65,462.65,461.6,444.75,19395922,20-MAR-2020
BHARTIARTL,EQ,416.45,451.65,361.75,444.75,444.55,425.55,23574894,19-MAR-2020
BHARTIARTL,EQ,460.0,478.8,407.45,425.55,440.0,454.7,28815241,18-MAR-2020
BHARTIARTL,EQ,465.0,481.0,444.35,454.7,458.0,464.8,12396973,17-MAR-2020
BHARTIARTL,EQ,472.25,492.95,456.15,464.8,461.0,491.85,14661576,16-MAR-2020
BHARTIARTL,EQ,453.8,509.05,420.0,491.85,489.8,464.95,23807651,13-MAR-2020
BHARTIARTL,EQ,478.5,481.5,459.2,464.95,466.0,493.8,14204414,12-MAR-2020
BHARTIARTL,EQ,487.0,508.5,487.0,493.8,494.0,496.25,21007587,11-MAR-2020
BHARTIARTL,EQ,510.0,512.0,491.05,496.25,495.65,519.15,15375756,09-MAR-2020
BHARTIARTL,EQ,517.75,523.65,511.45,519.15,519.35,526.9,9328722,06-MAR-2020
BHARTIARTL,EQ,522.8,530.7,516.65,526.9,526.6,516.75,14080598,05-MAR-2020
BHARTIARTL,EQ,525.0,532.8,507.4,516.75,513.0,520.8,17733434,04-MAR-2020
BHARTIARTL,EQ,524.0,533.35,514.15,520.8,523.25,518.35,10368929,03-MAR-2020
BHARTIARTL,EQ,534.0,536.0,511.85,518.35,519.95,523.5,9910097,02-MAR-2020
BHARTIARTL,EQ,524.9,528.4,513.5,523.5,522.45,531.65,16622086,28-FEB-2020
BHARTIARTL,EQ,534.7,535.85,527.0,531.65,531.15,535.95,11171400,27-FEB-2020
BHARTIARTL,EQ,532.7,539.4,520.3,535.95,535.1,535.25,18615730,26-FEB-2020
BHARTIARTL,EQ,533.0,537.95,530.95,535.25,535.75,529.9,9623521,25-FEB-2020
BHARTIARTL,EQ,542.0,542.05,527.1,529.9,529.95,545.6,9653196,24-FEB-2020
BHARTIARTL,EQ,543.7,552.0,538.6,545.6,544.6,543.4,15715009,20-FEB-2020
BHARTIARTL,EQ,549.1,553.6,538.75,543.4,544.0,548.25,21681078,19-FEB-2020
BHARTIARTL,EQ,563.35,568.85,537.3,548.25,549.0,564.85,21462600,18-FEB-2020
BHARTIARTL,EQ,564.95,568.7,556.5,564.85,565.4,565.0,22924036,17-FEB-2020
BHARTIARTL,EQ,544.9,567.55,534.25,565.0,563.6,539.95,36826473,14-FEB-2020
BHARTIARTL,EQ,539.7,542.75,531.75,539.95,540.65,539.6,5623475,13-FEB-2020
BHARTIARTL,EQ,536.0,542.35,535.0,539.6,539.7,534.3,5065813,12-FEB-2020
BHARTIARTL,EQ,539.5,544.65,532.75,534.3,534.1,538.7,6500749,11-FEB-2020
BHARTIARTL,EQ,540.2,543.65,536.1,538.7,538.0,539.45,8412522,10-FEB-2020
