SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BILENERGY,EQ,0.5,0.55,0.5,0.5,0.55,0.5,658290,20-MAR-2020
BILENERGY,EQ,0.5,0.5,0.45,0.5,0.45,0.5,380067,19-MAR-2020
BILENERGY,EQ,0.55,0.6,0.5,0.5,0.5,0.55,1936493,18-MAR-2020
BILENERGY,EQ,0.6,0.6,0.55,0.55,0.55,0.6,1954028,17-MAR-2020
BILENERGY,EQ,0.6,0.6,0.55,0.6,0.6,0.55,1208278,16-MAR-2020
BILENERGY,EQ,0.45,0.55,0.45,0.55,0.55,0.5,1179733,13-MAR-2020
BILENERGY,EQ,0.45,0.55,0.45,0.5,0.55,0.5,1577628,12-MAR-2020
BILENERGY,EQ,0.5,0.55,0.5,0.5,0.5,0.55,2082055,11-MAR-2020
BILENERGY,EQ,0.55,0.55,0.55,0.55,0.55,0.6,504292,09-MAR-2020
BILENERGY,EQ,0.6,0.6,0.6,0.6,0.6,0.65,156088,06-MAR-2020
BILENERGY,EQ,0.7,0.7,0.65,0.65,0.65,0.7,929302,05-MAR-2020
BILENERGY,EQ,0.7,0.7,0.65,0.7,0.65,0.65,3641058,04-MAR-2020
BILENERGY,EQ,0.65,0.65,0.65,0.65,0.65,0.6,198052,03-MAR-2020
BILENERGY,EQ,0.6,0.6,0.55,0.6,0.6,0.55,1614438,02-MAR-2020
BILENERGY,EQ,0.55,0.55,0.5,0.55,0.55,0.5,3698033,28-FEB-2020
BILENERGY,EQ,0.5,0.5,0.4,0.5,0.5,0.45,5157945,27-FEB-2020
BILENERGY,EQ,0.45,0.5,0.4,0.45,0.5,0.45,1911332,26-FEB-2020
BILENERGY,EQ,0.5,0.5,0.45,0.45,0.45,0.5,3789483,25-FEB-2020
BILENERGY,EQ,0.55,0.6,0.5,0.5,0.5,0.55,2340446,24-FEB-2020
BILENERGY,EQ,0.55,0.6,0.5,0.55,0.6,0.55,3779794,20-FEB-2020
BILENERGY,EQ,0.55,0.6,0.55,0.55,0.55,0.6,1909824,19-FEB-2020
BILENERGY,EQ,0.6,0.6,0.6,0.6,0.6,0.65,332617,18-FEB-2020
BILENERGY,EQ,0.65,0.7,0.65,0.65,0.65,0.7,256118,17-FEB-2020
BILENERGY,EQ,0.65,0.75,0.65,0.7,0.7,0.7,1332971,14-FEB-2020
BILENERGY,EQ,0.7,0.7,0.7,0.7,0.7,0.75,208190,13-FEB-2020
BILENERGY,EQ,0.75,0.75,0.75,0.75,0.75,0.8,178281,12-FEB-2020
BILENERGY,EQ,0.8,0.85,0.8,0.8,0.8,0.85,160719,11-FEB-2020
BILENERGY,EQ,0.85,0.9,0.85,0.85,0.85,0.9,284011,10-FEB-2020
