SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BKMINDST,BE,0.4,0.4,0.4,0.4,0.4,0.4,1005,20-MAR-2020
BKMINDST,BE,0.4,0.4,0.4,0.4,0.4,0.4,789,19-MAR-2020
BKMINDST,BE,0.4,0.4,0.35,0.4,0.4,0.4,3213,18-MAR-2020
BKMINDST,BE,0.4,0.4,0.4,0.4,0.4,0.4,220,17-MAR-2020
BKMINDST,BE,0.4,0.4,0.4,0.4,0.4,0.4,21100,16-MAR-2020
BKMINDST,BE,0.35,0.4,0.35,0.4,0.4,0.35,8199,13-MAR-2020
BKMINDST,EQ,0.4,0.4,0.35,0.35,0.35,0.4,13400,12-MAR-2020
BKMINDST,EQ,0.45,0.45,0.4,0.4,0.4,0.45,2914,11-MAR-2020
BKMINDST,EQ,0.4,0.45,0.4,0.45,0.45,0.45,4441,09-MAR-2020
BKMINDST,EQ,0.45,0.45,0.45,0.45,0.45,0.45,350,05-MAR-2020
BKMINDST,EQ,0.45,0.45,0.45,0.45,0.45,0.45,1184,04-MAR-2020
BKMINDST,EQ,0.4,0.45,0.4,0.45,0.45,0.45,67179,03-MAR-2020
BKMINDST,EQ,0.4,0.45,0.4,0.45,0.45,0.45,3126,02-MAR-2020
BKMINDST,EQ,0.45,0.45,0.45,0.45,0.45,0.45,21075,28-FEB-2020
BKMINDST,EQ,0.4,0.45,0.4,0.45,0.45,0.45,1198,27-FEB-2020
BKMINDST,EQ,0.45,0.45,0.4,0.45,0.45,0.45,23148,25-FEB-2020
BKMINDST,EQ,0.45,0.45,0.45,0.45,0.45,0.45,4559,24-FEB-2020
BKMINDST,EQ,0.45,0.45,0.4,0.45,0.45,0.45,3721,20-FEB-2020
BKMINDST,EQ,0.45,0.45,0.4,0.45,0.45,0.45,790,19-FEB-2020
BKMINDST,EQ,0.4,0.45,0.4,0.45,0.45,0.45,8230,18-FEB-2020
BKMINDST,EQ,0.45,0.45,0.45,0.45,0.45,0.45,15971,17-FEB-2020
BKMINDST,EQ,0.45,0.45,0.45,0.45,0.45,0.5,4116,14-FEB-2020
BKMINDST,EQ,0.45,0.5,0.45,0.5,0.5,0.5,1350,13-FEB-2020
BKMINDST,EQ,0.45,0.5,0.45,0.5,0.5,0.5,30900,12-FEB-2020
BKMINDST,EQ,0.45,0.5,0.45,0.5,0.5,0.5,6321,11-FEB-2020
BKMINDST,EQ,0.45,0.5,0.45,0.5,0.5,0.5,3459,10-FEB-2020
