SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BLISSGVS,EQ,101.85,104.9,99.0,101.45,101.6,99.7,493712,20-MAR-2020
BLISSGVS,EQ,101.55,102.85,84.0,99.7,99.95,102.0,107020,19-MAR-2020
BLISSGVS,EQ,105.0,107.0,96.6,102.0,103.0,102.55,150047,18-MAR-2020
BLISSGVS,EQ,103.5,108.0,94.9,102.55,106.85,103.35,348937,17-MAR-2020
BLISSGVS,EQ,97.9,104.8,97.45,103.35,104.0,98.2,397734,16-MAR-2020
BLISSGVS,EQ,89.1,98.75,81.25,98.2,98.75,93.3,380420,13-MAR-2020
BLISSGVS,EQ,92.4,95.0,86.35,93.3,93.5,93.15,353816,12-MAR-2020
BLISSGVS,EQ,95.0,106.45,85.0,93.15,98.5,97.95,683331,11-MAR-2020
BLISSGVS,EQ,113.0,124.0,97.95,97.95,97.95,122.4,1260406,09-MAR-2020
BLISSGVS,EQ,109.95,127.45,107.1,122.4,122.05,112.15,1058974,06-MAR-2020
BLISSGVS,EQ,113.75,113.75,110.05,112.15,112.4,108.25,330279,05-MAR-2020
BLISSGVS,EQ,110.0,112.95,105.5,108.25,108.6,110.3,603173,04-MAR-2020
BLISSGVS,EQ,102.0,113.65,102.0,110.3,107.9,99.3,705233,03-MAR-2020
BLISSGVS,EQ,99.0,100.9,93.0,99.3,100.0,99.4,1346074,02-MAR-2020
BLISSGVS,EQ,124.0,128.45,99.4,99.4,99.4,124.25,646473,28-FEB-2020
BLISSGVS,EQ,128.4,131.0,120.5,124.25,127.0,128.15,227769,27-FEB-2020
BLISSGVS,EQ,135.8,138.4,124.6,128.15,127.75,136.35,383998,26-FEB-2020
BLISSGVS,EQ,138.35,139.5,135.0,136.35,135.55,137.35,261734,25-FEB-2020
BLISSGVS,EQ,138.8,141.6,136.0,137.35,136.5,139.7,168133,24-FEB-2020
BLISSGVS,EQ,142.6,142.6,137.8,139.7,139.0,142.3,177010,20-FEB-2020
BLISSGVS,EQ,141.45,143.0,140.7,142.3,141.95,140.65,57817,19-FEB-2020
BLISSGVS,EQ,141.6,141.75,139.35,140.65,140.65,141.8,251054,18-FEB-2020
BLISSGVS,EQ,138.7,142.75,133.55,141.8,141.5,136.65,367256,17-FEB-2020
BLISSGVS,EQ,142.9,143.0,134.35,136.65,136.45,142.2,90077,14-FEB-2020
BLISSGVS,EQ,140.9,143.95,140.2,142.2,141.8,140.5,493229,13-FEB-2020
BLISSGVS,EQ,142.95,143.85,139.25,140.5,140.0,141.75,118006,12-FEB-2020
BLISSGVS,EQ,141.75,144.9,140.6,141.75,141.3,140.75,88423,11-FEB-2020
BLISSGVS,EQ,142.35,143.5,139.75,140.75,140.7,142.4,145241,10-FEB-2020
