SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BLUEBLENDS,BZ,0.6,0.65,0.6,0.65,0.65,0.65,21301,11-MAR-2020
BLUEBLENDS,BZ,0.65,0.65,0.65,0.65,0.65,0.65,82,06-MAR-2020
BLUEBLENDS,BZ,0.6,0.65,0.6,0.65,0.65,0.6,5484,05-MAR-2020
BLUEBLENDS,BZ,0.7,0.7,0.6,0.6,0.6,0.65,1221,04-MAR-2020
BLUEBLENDS,BZ,0.7,0.7,0.65,0.65,0.65,0.7,879,03-MAR-2020
BLUEBLENDS,BZ,0.7,0.7,0.7,0.7,0.7,0.75,600,02-MAR-2020
BLUEBLENDS,BZ,0.75,0.75,0.75,0.75,0.75,0.75,1000,28-FEB-2020
BLUEBLENDS,BZ,0.75,0.75,0.75,0.75,0.75,0.75,200,27-FEB-2020
BLUEBLENDS,BE,0.75,0.8,0.75,0.75,0.75,0.8,1356,26-FEB-2020
BLUEBLENDS,BE,0.8,0.85,0.75,0.8,0.85,0.8,3005,25-FEB-2020
BLUEBLENDS,BE,0.7,0.8,0.7,0.8,0.8,0.75,8725,24-FEB-2020
BLUEBLENDS,BE,0.7,0.75,0.7,0.75,0.75,0.7,1000,20-FEB-2020
BLUEBLENDS,BE,0.6,0.7,0.6,0.7,0.7,0.65,4202,19-FEB-2020
BLUEBLENDS,BE,0.7,0.7,0.65,0.65,0.65,0.65,391,18-FEB-2020
BLUEBLENDS,BE,0.7,0.7,0.6,0.65,0.6,0.65,5467,17-FEB-2020
BLUEBLENDS,BE,0.65,0.65,0.65,0.65,0.65,0.65,1410,14-FEB-2020
BLUEBLENDS,BE,0.65,0.65,0.65,0.65,0.65,0.6,3,13-FEB-2020
BLUEBLENDS,BE,0.6,0.65,0.6,0.6,0.6,0.6,7519,12-FEB-2020
BLUEBLENDS,BE,0.6,0.6,0.6,0.6,0.6,0.6,144,11-FEB-2020
BLUEBLENDS,BE,0.6,0.6,0.6,0.6,0.6,0.65,84,10-FEB-2020
