SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BLUEDART,EQ,2138.95,2449.8,2051.2,2302.2,2335.0,2139.1,8832,20-MAR-2020
BLUEDART,EQ,2201.0,2238.5,1951.75,2139.1,2150.0,2261.85,13001,19-MAR-2020
BLUEDART,EQ,2261.95,2344.0,2180.05,2261.85,2257.0,2222.85,5746,18-MAR-2020
BLUEDART,EQ,2202.15,2394.2,2158.3,2222.85,2220.0,2202.15,5032,17-MAR-2020
BLUEDART,EQ,2330.0,2330.0,2162.0,2202.15,2162.0,2324.45,4424,16-MAR-2020
BLUEDART,EQ,2227.0,2500.0,2152.0,2324.45,2310.1,2411.85,5219,13-MAR-2020
BLUEDART,EQ,2325.0,2494.95,2164.05,2411.85,2450.0,2550.2,16814,12-MAR-2020
BLUEDART,EQ,2625.0,2662.55,2520.0,2550.2,2570.0,2626.9,3609,11-MAR-2020
BLUEDART,EQ,2675.0,2675.0,2470.0,2626.9,2596.75,2685.3,7646,09-MAR-2020
BLUEDART,EQ,2813.35,3450.0,2365.9,2685.3,2689.9,2885.2,24400,06-MAR-2020
BLUEDART,EQ,2867.8,2918.0,2812.1,2885.2,2855.0,2824.5,2589,05-MAR-2020
BLUEDART,EQ,2949.0,2950.0,2781.1,2824.5,2825.0,2949.95,6513,04-MAR-2020
BLUEDART,EQ,2835.0,2998.0,2753.2,2949.95,2974.2,2785.6,7210,03-MAR-2020
BLUEDART,EQ,2770.0,2939.9,2650.0,2785.6,2899.0,2748.5,5957,02-MAR-2020
BLUEDART,EQ,2768.2,2778.0,2666.7,2748.5,2777.9,2825.7,19302,28-FEB-2020
BLUEDART,EQ,2853.0,2853.0,2761.0,2825.7,2825.0,2856.0,6242,27-FEB-2020
BLUEDART,EQ,2853.0,2893.9,2775.0,2856.0,2850.0,2852.8,5088,26-FEB-2020
BLUEDART,EQ,2894.3,2898.0,2850.0,2852.8,2858.0,2914.7,3518,25-FEB-2020
BLUEDART,EQ,2970.0,2991.0,2900.3,2914.7,2917.0,3005.8,6456,24-FEB-2020
BLUEDART,EQ,2971.0,3050.0,2970.05,3005.8,3002.05,3014.2,3156,20-FEB-2020
BLUEDART,EQ,2875.6,3071.0,2875.6,3014.2,3000.0,2898.65,31176,19-FEB-2020
BLUEDART,EQ,2900.0,2925.0,2850.1,2898.65,2900.0,2929.3,2907,18-FEB-2020
BLUEDART,EQ,2891.45,2982.7,2882.05,2929.3,2930.0,2884.2,4816,17-FEB-2020
BLUEDART,EQ,2780.0,2970.0,2780.0,2884.2,2878.0,2942.85,3717,14-FEB-2020
BLUEDART,EQ,2779.25,3000.0,2778.05,2942.85,2930.15,2779.25,16457,13-FEB-2020
BLUEDART,EQ,2765.0,2825.0,2765.0,2779.25,2771.0,2795.05,3593,12-FEB-2020
BLUEDART,EQ,2733.0,2819.8,2733.0,2795.05,2810.0,2769.65,3570,11-FEB-2020
BLUEDART,EQ,2820.0,2820.0,2738.0,2769.65,2790.0,2808.1,2946,10-FEB-2020
