SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BRIGADE,EQ,162.5,168.7,154.0,156.7,155.25,159.95,711293,20-MAR-2020
BRIGADE,EQ,153.5,174.2,151.95,159.95,160.45,168.1,204559,19-MAR-2020
BRIGADE,EQ,180.0,180.9,158.9,168.1,168.0,174.65,79892,18-MAR-2020
BRIGADE,EQ,179.0,187.7,172.05,174.65,174.0,181.1,728877,17-MAR-2020
BRIGADE,EQ,182.0,195.0,176.0,181.1,180.7,188.8,330629,16-MAR-2020
BRIGADE,EQ,171.9,204.6,155.5,188.8,185.2,191.05,734223,13-MAR-2020
BRIGADE,EQ,189.0,207.0,189.0,191.05,192.7,208.25,218696,12-MAR-2020
BRIGADE,EQ,206.5,216.0,206.5,208.25,209.5,208.35,139757,11-MAR-2020
BRIGADE,EQ,215.0,215.95,207.0,208.35,208.5,218.65,137483,09-MAR-2020
BRIGADE,EQ,219.7,221.0,212.0,218.65,220.95,220.95,23081,06-MAR-2020
BRIGADE,EQ,221.6,223.1,216.1,220.95,220.05,221.7,16707,05-MAR-2020
BRIGADE,EQ,221.5,225.0,221.0,221.7,221.0,223.15,216717,04-MAR-2020
BRIGADE,EQ,219.2,225.0,217.85,223.15,223.0,217.4,45657,03-MAR-2020
BRIGADE,EQ,231.0,237.25,213.35,217.4,216.5,231.55,130369,02-MAR-2020
BRIGADE,EQ,225.2,241.95,221.0,231.55,229.3,233.3,577067,28-FEB-2020
BRIGADE,EQ,236.0,239.6,230.45,233.3,231.35,236.15,322817,27-FEB-2020
BRIGADE,EQ,228.5,238.75,228.1,236.15,236.0,231.8,204906,26-FEB-2020
BRIGADE,EQ,231.25,234.4,226.3,231.8,231.0,228.55,313682,25-FEB-2020
BRIGADE,EQ,235.55,240.0,223.4,228.55,230.35,240.85,115568,24-FEB-2020
BRIGADE,EQ,228.2,254.9,226.75,240.85,240.2,229.1,642329,20-FEB-2020
BRIGADE,EQ,224.55,230.0,224.55,229.1,228.25,226.2,23143,19-FEB-2020
BRIGADE,EQ,228.95,229.0,223.0,226.2,226.0,228.4,36601,18-FEB-2020
BRIGADE,EQ,226.2,230.85,223.6,228.4,228.5,227.3,35234,17-FEB-2020
BRIGADE,EQ,231.65,232.95,225.65,227.3,228.5,229.6,37020,14-FEB-2020
BRIGADE,EQ,227.0,234.25,225.6,229.6,230.1,227.7,127839,13-FEB-2020
BRIGADE,EQ,233.0,233.0,225.05,227.7,228.0,231.55,42167,12-FEB-2020
BRIGADE,EQ,237.55,239.0,229.0,231.55,230.5,235.4,127506,11-FEB-2020
BRIGADE,EQ,233.05,239.0,225.7,235.4,239.0,235.65,74878,10-FEB-2020
