SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BSE,EQ,310.0,322.35,302.2,313.25,315.0,306.0,224798,20-MAR-2020
BSE,EQ,320.0,320.0,300.0,306.0,305.0,321.2,279594,19-MAR-2020
BSE,EQ,343.9,353.55,316.15,321.2,318.5,340.55,174089,18-MAR-2020
BSE,EQ,343.0,351.95,338.05,340.55,341.5,351.95,150821,17-MAR-2020
BSE,EQ,365.0,365.0,345.05,351.95,349.5,368.25,193335,16-MAR-2020
BSE,EQ,351.0,394.2,325.0,368.25,367.8,361.65,268135,13-MAR-2020
BSE,EQ,384.55,384.55,356.0,361.65,360.0,391.15,246639,12-MAR-2020
BSE,EQ,399.0,407.2,390.0,391.15,391.7,399.9,151869,11-MAR-2020
BSE,EQ,409.9,409.9,393.0,399.9,400.0,415.3,272087,09-MAR-2020
BSE,EQ,425.0,425.0,410.1,415.3,415.0,432.7,221880,06-MAR-2020
BSE,EQ,436.05,444.0,431.2,432.7,431.5,438.8,135039,05-MAR-2020
BSE,EQ,455.15,458.2,426.35,438.8,438.3,455.55,273255,04-MAR-2020
BSE,EQ,458.9,461.2,452.25,455.55,458.2,457.35,120729,03-MAR-2020
BSE,EQ,457.0,464.9,454.0,457.35,455.0,453.0,157059,02-MAR-2020
BSE,EQ,460.0,465.0,450.1,453.0,452.0,469.3,272325,28-FEB-2020
BSE,EQ,499.5,501.8,466.35,469.3,466.45,497.05,330449,27-FEB-2020
BSE,EQ,505.0,505.0,495.0,497.05,497.95,507.1,88036,26-FEB-2020
BSE,EQ,516.05,516.3,502.1,507.1,505.65,514.7,67953,25-FEB-2020
BSE,EQ,515.0,524.65,512.0,514.7,516.05,515.25,101150,24-FEB-2020
BSE,EQ,515.55,520.05,510.0,515.25,520.05,515.55,87259,20-FEB-2020
BSE,EQ,507.05,518.9,505.85,515.55,513.95,507.6,97873,19-FEB-2020
BSE,EQ,505.0,511.95,492.6,507.6,506.5,506.6,144436,18-FEB-2020
BSE,EQ,523.0,526.8,502.5,506.6,506.0,523.4,105804,17-FEB-2020
BSE,EQ,521.9,534.0,520.2,523.4,522.0,519.4,117511,14-FEB-2020
BSE,EQ,539.1,539.1,517.1,519.4,521.0,539.2,147941,13-FEB-2020
BSE,EQ,565.0,565.0,534.5,539.2,536.0,569.45,297801,12-FEB-2020
BSE,EQ,575.0,580.35,567.0,569.45,568.0,570.5,182576,11-FEB-2020
BSE,EQ,577.5,582.5,565.0,570.5,570.0,573.65,256290,10-FEB-2020
