SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
BSHSL,SM,110.0,110.0,110.0,110.0,110.0,104.0,1200,20-MAR-2020
BSHSL,SM,104.0,104.0,104.0,104.0,104.0,105.0,1200,19-MAR-2020
BSHSL,SM,105.0,105.0,105.0,105.0,105.0,103.7,1200,18-MAR-2020
BSHSL,SM,103.7,103.7,103.7,103.7,103.7,104.0,1200,17-MAR-2020
BSHSL,SM,104.0,104.0,104.0,104.0,104.0,105.9,1200,16-MAR-2020
BSHSL,SM,105.9,105.9,105.9,105.9,105.9,102.4,1200,13-MAR-2020
BSHSL,SM,102.4,102.4,102.4,102.4,102.4,104.5,1200,12-MAR-2020
BSHSL,SM,104.5,104.5,104.5,104.5,104.5,105.0,1200,11-MAR-2020
BSHSL,SM,105.0,105.0,105.0,105.0,105.0,108.0,1200,09-MAR-2020
BSHSL,SM,108.0,108.0,108.0,108.0,108.0,109.0,1200,06-MAR-2020
BSHSL,SM,109.0,109.0,109.0,109.0,109.0,108.5,1200,05-MAR-2020
BSHSL,SM,107.5,110.0,107.0,108.5,110.0,107.0,6000,04-MAR-2020
BSHSL,SM,107.0,107.0,107.0,107.0,107.0,103.0,1200,03-MAR-2020
BSHSL,SM,98.2,103.0,98.2,103.0,103.0,99.2,2400,02-MAR-2020
BSHSL,SM,110.3,110.3,99.2,99.2,99.2,100.0,3600,28-FEB-2020
BSHSL,SM,109.0,109.0,100.0,100.0,100.0,109.5,2400,27-FEB-2020
BSHSL,SM,109.5,109.5,109.5,109.5,109.5,111.0,1200,26-FEB-2020
BSHSL,SM,111.0,111.0,111.0,111.0,111.0,109.0,1200,25-FEB-2020
BSHSL,SM,109.0,109.0,109.0,109.0,109.0,110.1,1200,24-FEB-2020
BSHSL,SM,110.1,110.1,110.1,110.1,110.1,109.6,1200,20-FEB-2020
BSHSL,SM,109.0,109.6,109.0,109.6,109.6,109.6,2400,19-FEB-2020
BSHSL,SM,109.6,109.6,109.6,109.6,109.6,109.8,1200,18-FEB-2020
BSHSL,SM,109.8,109.8,109.8,109.8,109.8,109.0,1200,17-FEB-2020
BSHSL,SM,109.0,109.0,109.0,109.0,109.0,108.5,1200,14-FEB-2020
BSHSL,SM,108.5,108.5,108.5,108.5,108.5,108.0,1200,13-FEB-2020
BSHSL,SM,108.0,108.0,108.0,108.0,108.0,110.65,1200,12-FEB-2020
BSHSL,SM,110.65,110.65,110.65,110.65,110.65,110.0,1200,11-FEB-2020
BSHSL,SM,110.0,110.0,110.0,110.0,110.0,105.0,1200,10-FEB-2020
