SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
CANBK,EQ,99.8,102.95,95.45,96.25,95.9,99.05,20401525,20-MAR-2020
CANBK,EQ,90.65,104.95,89.7,99.05,98.35,95.85,16989456,19-MAR-2020
CANBK,EQ,101.5,101.8,92.5,95.85,95.5,99.2,12246334,18-MAR-2020
CANBK,EQ,100.6,104.9,98.0,99.2,99.25,99.65,12132213,17-MAR-2020
CANBK,EQ,99.7,102.8,97.5,99.65,99.5,107.4,11979773,16-MAR-2020
CANBK,EQ,89.2,109.4,82.0,107.4,107.3,98.5,18446393,13-MAR-2020
CANBK,EQ,108.0,109.7,97.05,98.5,98.3,116.65,15182766,12-MAR-2020
CANBK,EQ,121.65,123.8,115.3,116.65,115.6,121.65,10041511,11-MAR-2020
CANBK,EQ,125.0,127.85,120.0,121.65,121.0,130.5,9425292,09-MAR-2020
CANBK,EQ,130.0,132.7,127.4,130.5,130.0,139.1,8274049,06-MAR-2020
CANBK,EQ,139.75,143.35,133.95,139.1,138.6,138.9,14180230,05-MAR-2020
CANBK,EQ,142.0,142.2,135.2,138.9,138.4,141.75,10602835,04-MAR-2020
CANBK,EQ,139.75,143.5,137.8,141.75,142.2,138.15,12866011,03-MAR-2020
CANBK,EQ,146.3,147.9,136.2,138.15,138.15,143.7,10112716,02-MAR-2020
CANBK,EQ,150.0,150.7,140.15,143.7,142.3,155.55,9479531,28-FEB-2020
CANBK,EQ,159.4,160.45,154.25,155.55,154.95,159.9,8498519,27-FEB-2020
CANBK,EQ,161.5,163.1,159.1,159.9,159.6,162.9,6950126,26-FEB-2020
CANBK,EQ,166.55,166.65,162.35,162.9,162.8,165.55,7344060,25-FEB-2020
CANBK,EQ,171.0,171.7,164.45,165.55,164.9,172.65,5910514,24-FEB-2020
CANBK,EQ,173.4,177.4,171.15,172.65,172.8,173.65,7289494,20-FEB-2020
CANBK,EQ,174.4,176.35,171.5,173.65,173.2,172.8,6706914,19-FEB-2020
CANBK,EQ,175.0,175.0,167.55,172.8,172.7,174.8,9137114,18-FEB-2020
CANBK,EQ,180.8,181.3,174.2,174.8,174.55,180.3,6859158,17-FEB-2020
CANBK,EQ,183.3,185.5,179.55,180.3,180.0,183.0,8605375,14-FEB-2020
CANBK,EQ,185.5,187.55,182.6,183.0,182.95,184.7,8338787,13-FEB-2020
CANBK,EQ,188.95,189.75,182.85,184.7,184.95,187.6,7932797,12-FEB-2020
CANBK,EQ,188.9,191.45,186.65,187.6,187.65,187.15,6490881,11-FEB-2020
CANBK,EQ,189.95,191.8,185.95,187.15,187.3,190.0,6623990,10-FEB-2020
