SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
CANTABIL,EQ,242.5,250.5,241.5,244.1,242.5,246.0,32051,20-MAR-2020
CANTABIL,EQ,259.0,259.0,239.25,246.0,249.0,253.15,56810,19-MAR-2020
CANTABIL,EQ,250.65,260.0,236.1,253.15,254.9,249.6,43624,18-MAR-2020
CANTABIL,EQ,248.55,260.0,247.5,249.6,254.95,249.5,39119,17-MAR-2020
CANTABIL,EQ,231.75,260.0,231.0,249.5,250.0,254.6,43052,16-MAR-2020
CANTABIL,EQ,245.0,265.0,202.05,254.6,253.0,251.6,39232,13-MAR-2020
CANTABIL,EQ,223.55,257.5,223.55,251.6,249.8,264.2,66490,12-MAR-2020
CANTABIL,EQ,255.0,264.95,255.0,264.2,264.9,253.05,50023,11-MAR-2020
CANTABIL,EQ,248.0,255.0,247.5,253.05,254.0,252.7,35359,09-MAR-2020
CANTABIL,EQ,264.0,264.0,233.05,252.7,254.45,269.1,34695,06-MAR-2020
CANTABIL,EQ,262.2,274.6,260.0,269.1,271.0,261.75,33279,05-MAR-2020
CANTABIL,EQ,253.5,269.9,247.85,261.75,261.0,251.25,48867,04-MAR-2020
CANTABIL,EQ,293.0,295.9,245.0,251.25,250.0,293.55,65291,03-MAR-2020
CANTABIL,EQ,315.0,315.0,288.0,293.55,290.8,304.75,89420,02-MAR-2020
CANTABIL,EQ,325.0,325.0,297.0,304.75,306.3,325.7,75949,28-FEB-2020
CANTABIL,EQ,330.15,330.7,325.3,325.7,325.3,329.65,58662,27-FEB-2020
CANTABIL,EQ,330.2,340.0,328.0,329.65,328.25,334.8,36897,26-FEB-2020
CANTABIL,EQ,329.2,338.65,325.3,334.8,331.0,326.8,54580,25-FEB-2020
CANTABIL,EQ,347.0,347.0,326.0,326.8,327.7,339.6,72423,24-FEB-2020
CANTABIL,EQ,340.0,348.8,326.0,339.6,340.05,344.8,66076,20-FEB-2020
CANTABIL,EQ,345.0,355.0,334.05,344.8,336.15,346.2,96965,19-FEB-2020
CANTABIL,EQ,352.2,354.0,335.35,346.2,342.05,348.9,76114,18-FEB-2020
CANTABIL,EQ,322.0,357.95,322.0,348.9,348.1,308.2,214511,17-FEB-2020
CANTABIL,EQ,302.15,310.5,298.65,308.2,308.0,302.15,46592,14-FEB-2020
CANTABIL,EQ,298.0,304.75,293.5,302.15,302.5,294.25,45860,13-FEB-2020
CANTABIL,EQ,291.5,298.0,286.35,294.25,295.0,290.6,38433,12-FEB-2020
CANTABIL,EQ,283.4,292.5,280.05,290.6,291.0,286.05,38560,11-FEB-2020
CANTABIL,EQ,292.6,294.0,281.4,286.05,284.7,282.6,40688,10-FEB-2020
