SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
CAPLIPOINT,EQ,246.0,248.6,232.6,237.95,239.0,233.9,89266,20-MAR-2020
CAPLIPOINT,EQ,253.6,253.6,230.0,233.9,235.5,255.1,95896,19-MAR-2020
CAPLIPOINT,EQ,268.0,269.0,245.0,255.1,259.85,263.15,75723,18-MAR-2020
CAPLIPOINT,EQ,266.0,277.85,260.0,263.15,263.0,265.3,79566,17-MAR-2020
CAPLIPOINT,EQ,268.8,279.95,260.8,265.3,267.2,283.8,79917,16-MAR-2020
CAPLIPOINT,EQ,255.55,292.15,223.95,283.8,288.95,279.9,146993,13-MAR-2020
CAPLIPOINT,EQ,300.55,307.8,275.65,279.9,282.5,320.5,161873,12-MAR-2020
CAPLIPOINT,EQ,296.0,329.6,290.1,320.5,317.0,288.25,277347,11-MAR-2020
CAPLIPOINT,EQ,289.9,290.0,280.1,288.25,287.6,293.95,99133,09-MAR-2020
CAPLIPOINT,EQ,288.0,299.35,285.0,293.95,295.0,300.55,84017,06-MAR-2020
CAPLIPOINT,EQ,305.0,307.0,296.45,300.55,300.2,298.05,54712,05-MAR-2020
CAPLIPOINT,EQ,293.0,312.0,281.0,298.05,297.5,292.2,174766,04-MAR-2020
CAPLIPOINT,EQ,305.15,317.0,285.0,292.2,292.9,305.15,135976,03-MAR-2020
CAPLIPOINT,EQ,304.0,324.0,297.05,305.15,301.0,299.1,96995,02-MAR-2020
CAPLIPOINT,EQ,318.25,318.25,282.3,299.1,303.0,320.75,135366,28-FEB-2020
CAPLIPOINT,EQ,323.1,326.0,317.5,320.75,320.45,320.1,58860,27-FEB-2020
CAPLIPOINT,EQ,315.2,327.9,315.2,320.1,321.45,318.2,72597,26-FEB-2020
CAPLIPOINT,EQ,318.0,330.0,312.0,318.2,320.0,313.2,134654,25-FEB-2020
CAPLIPOINT,EQ,350.0,352.6,303.65,313.2,317.95,350.4,240380,24-FEB-2020
CAPLIPOINT,EQ,350.0,360.0,349.8,350.4,350.5,351.9,108107,20-FEB-2020
CAPLIPOINT,EQ,346.55,359.75,344.3,351.9,351.45,344.55,208561,19-FEB-2020
CAPLIPOINT,EQ,330.0,351.0,324.0,344.55,343.0,333.4,117975,18-FEB-2020
CAPLIPOINT,EQ,336.0,337.3,323.0,333.4,332.9,336.6,161402,17-FEB-2020
CAPLIPOINT,EQ,336.0,354.4,334.0,336.6,335.0,337.35,128782,14-FEB-2020
CAPLIPOINT,EQ,334.7,343.9,322.2,337.35,337.2,334.7,484758,13-FEB-2020
CAPLIPOINT,EQ,339.0,349.5,322.2,334.7,328.5,343.2,282272,12-FEB-2020
CAPLIPOINT,EQ,364.0,372.9,338.95,343.2,340.0,370.05,213141,11-FEB-2020
CAPLIPOINT,EQ,363.0,381.0,355.0,370.05,367.1,364.1,628355,10-FEB-2020
