SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
CENTURYTEX,EQ,280.0,318.1,273.6,303.85,303.0,276.65,1607914,20-MAR-2020
CENTURYTEX,EQ,262.55,302.6,262.1,276.65,274.5,286.75,2531193,19-MAR-2020
CENTURYTEX,EQ,354.0,355.0,268.25,286.75,296.05,338.25,2512347,18-MAR-2020
CENTURYTEX,EQ,387.0,397.5,330.05,338.25,330.25,386.6,1259464,17-MAR-2020
CENTURYTEX,EQ,414.4,418.8,383.0,386.6,384.0,433.95,1161299,16-MAR-2020
CENTURYTEX,EQ,377.0,446.7,354.7,433.95,432.0,417.25,1053653,13-MAR-2020
CENTURYTEX,EQ,462.1,469.6,415.0,417.25,417.2,485.1,1602739,12-MAR-2020
CENTURYTEX,EQ,484.0,492.7,476.5,485.1,485.1,488.0,1287001,11-MAR-2020
CENTURYTEX,EQ,499.9,502.8,481.0,488.0,484.0,510.1,959928,09-MAR-2020
CENTURYTEX,EQ,483.0,516.2,483.0,510.1,508.0,509.95,1463855,06-MAR-2020
CENTURYTEX,EQ,504.9,518.0,502.65,509.95,507.0,501.2,1533428,05-MAR-2020
CENTURYTEX,EQ,530.0,535.85,485.05,501.2,497.0,528.35,2787270,04-MAR-2020
CENTURYTEX,EQ,508.7,533.2,503.1,528.35,530.0,500.05,2804030,03-MAR-2020
CENTURYTEX,EQ,519.0,541.75,492.8,500.05,494.0,506.75,2762684,02-MAR-2020
CENTURYTEX,EQ,532.0,532.4,503.35,506.75,504.7,542.8,1203242,28-FEB-2020
CENTURYTEX,EQ,559.7,563.6,536.2,542.8,539.0,559.15,1375099,27-FEB-2020
CENTURYTEX,EQ,553.0,574.25,553.0,559.15,558.0,560.95,1051786,26-FEB-2020
CENTURYTEX,EQ,575.0,578.0,557.5,560.95,559.95,571.4,864138,25-FEB-2020
CENTURYTEX,EQ,595.0,595.0,567.2,571.4,570.0,601.45,822920,24-FEB-2020
CENTURYTEX,EQ,612.65,617.15,598.0,601.45,600.0,610.25,1321773,20-FEB-2020
CENTURYTEX,EQ,588.35,619.0,586.2,610.25,611.9,583.4,1925038,19-FEB-2020
CENTURYTEX,EQ,579.9,585.8,568.0,583.4,583.4,578.6,683231,18-FEB-2020
CENTURYTEX,EQ,584.15,587.75,574.0,578.6,580.1,583.25,621374,17-FEB-2020
CENTURYTEX,EQ,596.4,607.25,580.0,583.25,582.05,594.95,1232538,14-FEB-2020
CENTURYTEX,EQ,595.1,600.75,588.1,594.95,596.8,594.25,774724,13-FEB-2020
CENTURYTEX,EQ,599.0,606.95,588.7,594.25,595.1,596.7,1094054,12-FEB-2020
CENTURYTEX,EQ,609.6,618.15,593.4,596.7,595.65,605.15,1064924,11-FEB-2020
CENTURYTEX,EQ,610.75,612.45,594.0,605.15,604.0,609.15,968485,10-FEB-2020
