SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
CIGNITITEC,EQ,229.0,246.0,227.05,230.35,230.0,226.9,32852,20-MAR-2020
CIGNITITEC,EQ,245.0,248.8,222.2,226.9,224.0,241.75,27016,19-MAR-2020
CIGNITITEC,EQ,266.0,266.0,232.05,241.75,251.1,262.65,18236,18-MAR-2020
CIGNITITEC,EQ,260.55,269.8,250.0,262.65,257.0,260.55,37946,17-MAR-2020
CIGNITITEC,EQ,236.1,277.9,236.1,260.55,255.2,257.25,49149,16-MAR-2020
CIGNITITEC,EQ,219.0,264.0,180.1,257.25,260.0,220.35,85047,13-MAR-2020
CIGNITITEC,EQ,245.0,256.0,207.1,220.35,218.0,258.3,39726,12-MAR-2020
CIGNITITEC,EQ,255.0,262.5,239.6,258.3,259.0,249.1,23692,11-MAR-2020
CIGNITITEC,EQ,247.95,254.0,236.5,249.1,250.05,248.5,20939,09-MAR-2020
CIGNITITEC,EQ,237.1,253.3,237.1,248.5,247.0,253.0,10596,06-MAR-2020
CIGNITITEC,EQ,258.0,261.0,246.9,253.0,256.0,252.4,32222,05-MAR-2020
CIGNITITEC,EQ,251.2,259.8,246.0,252.4,259.0,255.4,24833,04-MAR-2020
CIGNITITEC,EQ,268.15,268.35,252.1,255.4,254.9,264.2,15536,03-MAR-2020
CIGNITITEC,EQ,251.7,272.5,251.7,264.2,263.0,258.4,14543,02-MAR-2020
CIGNITITEC,EQ,269.25,269.25,255.0,258.4,258.0,269.45,12540,28-FEB-2020
CIGNITITEC,EQ,282.95,282.95,265.05,269.45,268.9,275.3,14310,27-FEB-2020
CIGNITITEC,EQ,267.9,283.6,267.6,275.3,276.25,267.7,21474,26-FEB-2020
CIGNITITEC,EQ,268.05,273.9,259.95,267.7,266.0,267.8,14145,25-FEB-2020
CIGNITITEC,EQ,274.2,274.8,265.75,267.8,267.05,274.2,12407,24-FEB-2020
CIGNITITEC,EQ,277.6,279.25,273.1,274.2,273.15,275.9,11384,20-FEB-2020
CIGNITITEC,EQ,278.25,285.05,274.1,275.9,276.0,276.65,27648,19-FEB-2020
CIGNITITEC,EQ,290.0,290.0,274.1,276.65,277.0,282.5,11857,18-FEB-2020
CIGNITITEC,EQ,291.0,293.55,280.5,282.5,281.5,291.75,27127,17-FEB-2020
CIGNITITEC,EQ,293.0,296.15,287.05,291.75,293.0,293.2,5106,14-FEB-2020
CIGNITITEC,EQ,303.9,303.9,291.2,293.2,294.0,295.0,31010,13-FEB-2020
CIGNITITEC,EQ,289.9,299.0,286.4,295.0,297.0,285.05,88229,12-FEB-2020
CIGNITITEC,EQ,284.5,291.5,275.1,285.05,282.0,278.85,40196,11-FEB-2020
CIGNITITEC,EQ,284.9,284.9,274.05,278.85,280.0,280.25,9637,10-FEB-2020
