SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
CINEVISTA,EQ,4.05,4.25,3.9,4.25,4.25,4.05,6760,20-MAR-2020
CINEVISTA,EQ,3.9,4.05,3.75,4.05,4.05,3.9,3427,19-MAR-2020
CINEVISTA,EQ,3.7,4.0,3.7,3.9,4.0,3.85,10915,18-MAR-2020
CINEVISTA,EQ,3.8,4.1,3.8,3.85,3.85,3.95,10169,17-MAR-2020
CINEVISTA,EQ,4.1,4.3,3.9,3.95,3.9,4.1,6779,16-MAR-2020
CINEVISTA,EQ,4.05,4.65,4.05,4.1,4.05,4.5,10210,13-MAR-2020
CINEVISTA,EQ,4.9,5.0,4.5,4.5,4.5,4.95,8457,12-MAR-2020
CINEVISTA,EQ,4.75,5.0,4.75,4.95,4.75,4.75,1710,11-MAR-2020
CINEVISTA,EQ,4.7,5.1,4.65,4.75,4.75,5.1,9111,09-MAR-2020
CINEVISTA,EQ,5.25,5.25,5.05,5.1,5.05,5.6,19469,06-MAR-2020
CINEVISTA,EQ,5.25,5.95,5.25,5.6,5.6,5.7,9242,05-MAR-2020
CINEVISTA,EQ,5.8,5.8,5.35,5.7,5.45,5.3,7699,04-MAR-2020
CINEVISTA,EQ,5.5,5.6,5.2,5.3,5.3,5.25,6569,03-MAR-2020
CINEVISTA,EQ,5.6,5.95,5.15,5.25,5.15,5.6,11300,02-MAR-2020
CINEVISTA,EQ,5.6,5.95,5.55,5.6,5.6,6.0,3265,28-FEB-2020
CINEVISTA,EQ,5.95,6.1,5.4,6.0,6.05,5.6,14525,27-FEB-2020
CINEVISTA,EQ,6.0,6.0,5.6,5.6,5.6,5.85,2984,26-FEB-2020
CINEVISTA,EQ,6.35,6.35,5.85,5.85,5.85,5.95,3182,25-FEB-2020
CINEVISTA,EQ,6.05,6.45,5.9,5.95,5.9,6.45,8261,24-FEB-2020
CINEVISTA,EQ,6.35,6.65,5.85,6.45,6.2,6.35,12534,20-FEB-2020
CINEVISTA,EQ,6.0,6.8,5.9,6.35,6.6,6.2,7628,19-FEB-2020
CINEVISTA,EQ,6.0,6.9,5.85,6.2,6.9,6.5,26341,18-FEB-2020
CINEVISTA,EQ,6.05,6.6,6.05,6.5,6.5,6.3,1893,17-FEB-2020
CINEVISTA,EQ,6.3,6.6,6.3,6.3,6.3,6.4,5893,14-FEB-2020
CINEVISTA,EQ,6.2,6.7,6.1,6.4,6.4,6.2,9888,13-FEB-2020
CINEVISTA,EQ,6.2,6.85,6.2,6.2,6.2,6.35,8143,12-FEB-2020
CINEVISTA,EQ,6.55,6.75,6.3,6.35,6.7,6.6,4955,11-FEB-2020
CINEVISTA,EQ,6.85,6.95,6.6,6.6,6.6,6.85,1094,10-FEB-2020
