SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
COMPUSOFT,EQ,3.45,3.6,3.25,3.45,3.35,3.45,61107,20-MAR-2020
COMPUSOFT,EQ,3.5,3.6,3.25,3.45,3.45,3.4,34852,19-MAR-2020
COMPUSOFT,EQ,3.55,3.55,3.25,3.4,3.4,3.5,14443,18-MAR-2020
COMPUSOFT,EQ,3.45,3.6,3.25,3.5,3.5,3.45,7492,17-MAR-2020
COMPUSOFT,EQ,3.65,3.65,3.35,3.45,3.6,3.5,13985,16-MAR-2020
COMPUSOFT,EQ,3.4,3.7,3.15,3.5,3.55,3.4,27368,13-MAR-2020
COMPUSOFT,EQ,3.6,3.6,3.3,3.4,3.5,3.65,48163,12-MAR-2020
COMPUSOFT,EQ,3.55,3.7,3.4,3.65,3.6,3.55,19525,11-MAR-2020
COMPUSOFT,EQ,3.6,3.7,3.4,3.55,3.6,3.75,47023,09-MAR-2020
COMPUSOFT,EQ,3.55,3.75,3.5,3.75,3.75,3.85,42945,06-MAR-2020
COMPUSOFT,EQ,3.75,4.0,3.45,3.85,3.9,3.8,97525,05-MAR-2020
COMPUSOFT,EQ,5.0,5.0,3.8,3.8,3.8,4.75,565236,04-MAR-2020
COMPUSOFT,EQ,5.0,5.1,4.3,4.75,4.75,5.0,55212,03-MAR-2020
COMPUSOFT,EQ,5.0,5.25,5.0,5.0,5.05,5.0,15019,02-MAR-2020
COMPUSOFT,EQ,5.0,5.2,4.8,5.0,5.05,5.15,38742,28-FEB-2020
COMPUSOFT,EQ,5.3,5.4,5.0,5.15,5.25,5.35,35034,27-FEB-2020
COMPUSOFT,EQ,5.6,5.6,5.3,5.35,5.3,5.35,7872,26-FEB-2020
COMPUSOFT,EQ,5.8,5.8,5.35,5.35,5.35,5.55,5110,25-FEB-2020
COMPUSOFT,EQ,5.7,5.9,5.5,5.55,5.75,5.7,15904,24-FEB-2020
COMPUSOFT,EQ,5.35,5.9,5.2,5.7,5.6,5.2,52225,20-FEB-2020
COMPUSOFT,EQ,5.1,5.85,4.7,5.2,5.35,5.05,138070,19-FEB-2020
COMPUSOFT,EQ,6.0,6.0,4.9,5.05,5.0,5.95,115723,18-FEB-2020
COMPUSOFT,EQ,6.35,6.45,5.8,5.95,6.0,6.3,58245,17-FEB-2020
COMPUSOFT,EQ,6.85,6.85,6.1,6.3,6.2,6.85,95494,14-FEB-2020
COMPUSOFT,EQ,7.1,7.1,6.75,6.85,6.8,6.9,31523,13-FEB-2020
COMPUSOFT,EQ,7.05,7.35,6.85,6.9,6.9,6.9,17050,12-FEB-2020
COMPUSOFT,EQ,7.15,7.25,6.85,6.9,6.95,7.15,15049,11-FEB-2020
COMPUSOFT,EQ,7.1,7.15,6.9,7.15,7.15,7.1,4974,10-FEB-2020
