SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
COUNCODOS,EQ,1.1,1.1,1.1,1.1,1.1,1.15,476,20-MAR-2020
COUNCODOS,EQ,1.2,1.2,1.15,1.15,1.15,1.2,3726,19-MAR-2020
COUNCODOS,EQ,1.2,1.2,1.2,1.2,1.2,1.25,350,18-MAR-2020
COUNCODOS,EQ,1.3,1.3,1.25,1.25,1.25,1.3,2450,17-MAR-2020
COUNCODOS,EQ,1.35,1.35,1.3,1.3,1.3,1.35,1520,16-MAR-2020
COUNCODOS,EQ,1.35,1.35,1.35,1.35,1.35,1.4,1276,13-MAR-2020
COUNCODOS,EQ,1.4,1.4,1.4,1.4,1.4,1.45,1804,12-MAR-2020
COUNCODOS,EQ,1.45,1.45,1.45,1.45,1.45,1.5,16397,11-MAR-2020
COUNCODOS,EQ,1.5,1.5,1.5,1.5,1.5,1.55,2,06-MAR-2020
COUNCODOS,EQ,1.55,1.55,1.55,1.55,1.55,1.5,6,02-MAR-2020
COUNCODOS,EQ,1.45,1.5,1.4,1.5,1.4,1.45,178,28-FEB-2020
COUNCODOS,EQ,1.4,1.45,1.4,1.45,1.45,1.45,2089,27-FEB-2020
COUNCODOS,EQ,1.4,1.5,1.4,1.45,1.45,1.45,4185,26-FEB-2020
COUNCODOS,EQ,1.45,1.45,1.45,1.45,1.45,1.5,5,25-FEB-2020
COUNCODOS,EQ,1.5,1.5,1.5,1.5,1.5,1.55,62,24-FEB-2020
COUNCODOS,EQ,1.55,1.55,1.55,1.55,1.55,1.6,1011,20-FEB-2020
COUNCODOS,EQ,1.6,1.6,1.6,1.6,1.6,1.65,1307,18-FEB-2020
COUNCODOS,EQ,1.7,1.7,1.65,1.65,1.65,1.7,386,17-FEB-2020
COUNCODOS,EQ,1.7,1.7,1.7,1.7,1.7,1.75,5501,14-FEB-2020
COUNCODOS,EQ,1.7,1.85,1.6,1.75,1.7,1.7,25941,13-FEB-2020
COUNCODOS,EQ,1.5,1.7,1.5,1.7,1.7,1.55,45611,12-FEB-2020
COUNCODOS,EQ,1.55,1.55,1.5,1.55,1.55,1.45,16762,11-FEB-2020
COUNCODOS,EQ,1.5,1.55,1.35,1.45,1.55,1.45,51424,10-FEB-2020
