SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
CUPID,EQ,145.95,147.9,137.0,143.4,144.0,138.55,50236,20-MAR-2020
CUPID,EQ,133.0,142.0,122.6,138.55,139.0,133.75,63077,19-MAR-2020
CUPID,EQ,164.2,167.0,131.5,133.75,136.9,162.0,85068,18-MAR-2020
CUPID,EQ,162.5,166.05,160.55,162.0,161.5,161.45,39486,17-MAR-2020
CUPID,EQ,165.0,175.0,156.3,161.45,160.0,170.3,37038,16-MAR-2020
CUPID,EQ,152.0,174.6,145.0,170.3,171.5,165.15,87391,13-MAR-2020
CUPID,EQ,163.3,171.0,163.3,165.15,165.0,180.1,83336,12-MAR-2020
CUPID,EQ,174.0,185.6,172.65,180.1,184.7,172.1,71048,11-MAR-2020
CUPID,EQ,177.0,180.05,170.05,172.1,170.05,182.8,61069,09-MAR-2020
CUPID,EQ,180.0,186.15,177.5,182.8,183.4,189.6,63029,06-MAR-2020
CUPID,EQ,187.6,194.0,183.0,189.6,188.95,185.4,47280,05-MAR-2020
CUPID,EQ,194.0,194.45,180.0,185.4,182.5,191.95,53342,04-MAR-2020
CUPID,EQ,193.5,195.0,185.45,191.95,192.75,187.3,52862,03-MAR-2020
CUPID,EQ,184.7,199.45,180.1,187.3,187.9,177.55,149417,02-MAR-2020
CUPID,EQ,196.0,199.85,166.6,177.55,180.3,203.1,171548,28-FEB-2020
CUPID,EQ,215.4,215.6,199.05,203.1,203.0,214.55,107803,27-FEB-2020
CUPID,EQ,215.0,219.25,213.0,214.55,215.7,218.6,48717,26-FEB-2020
CUPID,EQ,220.35,224.5,217.25,218.6,219.7,218.05,57556,25-FEB-2020
CUPID,EQ,229.55,230.0,215.1,218.05,218.5,232.85,69907,24-FEB-2020
CUPID,EQ,237.9,238.75,229.2,232.85,232.9,237.2,78571,20-FEB-2020
CUPID,EQ,223.85,239.7,218.0,237.2,237.55,220.75,191369,19-FEB-2020
CUPID,EQ,219.9,224.8,218.0,220.75,220.0,221.7,61963,18-FEB-2020
CUPID,EQ,214.95,225.0,214.95,221.7,222.0,214.05,101667,17-FEB-2020
CUPID,EQ,218.0,221.5,211.25,214.05,214.55,219.25,47623,14-FEB-2020
CUPID,EQ,214.05,222.0,214.05,219.25,218.55,216.3,47085,13-FEB-2020
CUPID,EQ,215.0,219.25,213.0,216.3,216.95,214.7,48984,12-FEB-2020
CUPID,EQ,219.2,224.0,212.2,214.7,214.0,217.9,55712,11-FEB-2020
CUPID,EQ,222.35,225.7,217.0,217.9,217.55,223.85,45568,10-FEB-2020
