SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DEEPAKFERT,EQ,75.8,87.4,75.0,78.8,79.05,73.75,1345944,20-MAR-2020
DEEPAKFERT,EQ,62.4,75.0,57.15,73.75,75.0,62.5,684001,19-MAR-2020
DEEPAKFERT,EQ,72.0,73.7,61.7,62.5,62.1,69.05,430503,18-MAR-2020
DEEPAKFERT,EQ,68.6,72.8,68.0,69.05,68.5,69.9,285729,17-MAR-2020
DEEPAKFERT,EQ,72.2,72.2,65.65,69.9,70.3,73.4,300323,16-MAR-2020
DEEPAKFERT,EQ,66.0,75.95,57.25,73.4,73.35,70.65,536239,13-MAR-2020
DEEPAKFERT,EQ,80.3,81.0,69.0,70.65,73.15,82.5,442758,12-MAR-2020
DEEPAKFERT,EQ,83.15,87.9,81.5,82.5,82.15,83.15,252779,11-MAR-2020
DEEPAKFERT,EQ,86.15,86.25,81.45,83.15,82.6,87.95,259569,09-MAR-2020
DEEPAKFERT,EQ,83.5,89.3,83.5,87.95,88.15,91.75,180024,06-MAR-2020
DEEPAKFERT,EQ,91.8,94.3,88.7,91.75,91.25,91.8,217866,05-MAR-2020
DEEPAKFERT,EQ,92.25,94.8,90.6,91.8,91.45,90.8,532733,04-MAR-2020
DEEPAKFERT,EQ,89.9,91.5,89.25,90.8,91.1,88.35,138174,03-MAR-2020
DEEPAKFERT,EQ,86.7,90.6,86.7,88.35,89.0,85.8,196371,02-MAR-2020
DEEPAKFERT,EQ,86.0,88.95,85.3,85.8,85.8,90.8,251116,28-FEB-2020
DEEPAKFERT,EQ,92.0,92.3,90.1,90.8,90.8,92.8,172347,27-FEB-2020
DEEPAKFERT,EQ,92.95,95.5,90.8,92.8,92.5,94.3,328683,26-FEB-2020
DEEPAKFERT,EQ,94.75,95.0,89.55,94.3,94.5,93.25,462694,25-FEB-2020
DEEPAKFERT,EQ,95.0,96.15,92.4,93.25,93.15,95.45,187976,24-FEB-2020
DEEPAKFERT,EQ,97.0,97.7,95.0,95.45,95.5,96.85,166072,20-FEB-2020
DEEPAKFERT,EQ,96.55,98.7,96.5,96.85,96.7,95.9,201481,19-FEB-2020
DEEPAKFERT,EQ,97.45,97.45,94.15,95.9,96.45,96.55,178972,18-FEB-2020
DEEPAKFERT,EQ,99.95,99.95,96.2,96.55,97.05,99.95,189013,17-FEB-2020
DEEPAKFERT,EQ,103.1,103.85,99.15,99.95,99.15,99.45,523211,14-FEB-2020
DEEPAKFERT,EQ,98.05,101.7,98.0,99.45,99.45,103.3,356971,13-FEB-2020
DEEPAKFERT,EQ,107.5,107.5,102.9,103.3,103.3,107.0,324939,12-FEB-2020
DEEPAKFERT,EQ,104.15,110.5,104.15,107.0,107.5,102.65,1829387,11-FEB-2020
DEEPAKFERT,EQ,97.5,103.95,97.5,102.65,103.5,97.4,893765,10-FEB-2020
