SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DEEPAKNTR,EQ,360.0,399.0,349.0,377.9,387.0,341.55,1116097,20-MAR-2020
DEEPAKNTR,EQ,335.0,381.6,310.0,341.55,343.7,363.1,1974070,19-MAR-2020
DEEPAKNTR,EQ,415.0,427.55,358.5,363.1,364.85,410.9,840461,18-MAR-2020
DEEPAKNTR,EQ,425.0,447.0,402.6,410.9,403.7,429.25,726513,17-MAR-2020
DEEPAKNTR,EQ,441.0,448.9,419.3,429.25,423.65,468.7,856985,16-MAR-2020
DEEPAKNTR,EQ,377.0,484.6,370.1,468.7,461.3,439.5,1434867,13-MAR-2020
DEEPAKNTR,EQ,445.0,450.0,390.0,439.5,429.0,475.2,2091687,12-MAR-2020
DEEPAKNTR,EQ,490.6,509.0,470.75,475.2,472.0,490.6,806521,11-MAR-2020
DEEPAKNTR,EQ,508.8,508.8,463.45,490.6,492.5,519.0,988007,09-MAR-2020
DEEPAKNTR,EQ,490.0,523.0,488.05,519.0,520.0,519.85,917859,06-MAR-2020
DEEPAKNTR,EQ,527.0,530.0,514.0,519.85,517.25,521.8,730753,05-MAR-2020
DEEPAKNTR,EQ,542.5,542.5,498.15,521.8,521.5,532.95,1370234,04-MAR-2020
DEEPAKNTR,EQ,512.8,537.85,510.2,532.95,535.35,505.1,2231123,03-MAR-2020
DEEPAKNTR,EQ,483.0,524.0,470.4,505.1,502.2,461.9,2380603,02-MAR-2020
DEEPAKNTR,EQ,470.0,482.0,458.0,461.9,460.95,494.3,888153,28-FEB-2020
DEEPAKNTR,EQ,504.0,511.1,473.0,494.3,496.45,501.45,945565,27-FEB-2020
DEEPAKNTR,EQ,500.25,520.8,496.0,501.45,506.8,506.35,2054528,26-FEB-2020
DEEPAKNTR,EQ,472.5,518.1,465.1,506.35,505.0,467.75,2517684,25-FEB-2020
DEEPAKNTR,EQ,481.7,489.75,465.0,467.75,467.0,483.9,533632,24-FEB-2020
DEEPAKNTR,EQ,480.0,491.7,476.65,483.9,485.5,483.5,497872,20-FEB-2020
DEEPAKNTR,EQ,485.0,499.0,475.2,483.5,481.5,482.7,927418,19-FEB-2020
DEEPAKNTR,EQ,453.7,491.55,431.75,482.7,481.9,454.3,1436290,18-FEB-2020
DEEPAKNTR,EQ,459.9,462.35,445.7,454.3,454.6,459.85,436983,17-FEB-2020
DEEPAKNTR,EQ,430.0,464.9,424.05,459.85,458.0,427.6,2016075,14-FEB-2020
DEEPAKNTR,EQ,426.7,432.5,421.55,427.6,428.0,426.7,515963,13-FEB-2020
DEEPAKNTR,EQ,415.5,428.85,407.1,426.7,428.0,413.3,755115,12-FEB-2020
DEEPAKNTR,EQ,413.15,418.8,409.1,413.3,413.0,410.55,517233,11-FEB-2020
DEEPAKNTR,EQ,408.25,418.8,404.0,410.55,411.0,404.7,883560,10-FEB-2020
