SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DELTACORP,EQ,62.3,65.9,60.7,62.65,63.5,62.8,3532466,20-MAR-2020
DELTACORP,EQ,63.0,67.8,62.55,62.8,62.55,70.2,2138831,19-MAR-2020
DELTACORP,EQ,78.5,80.6,70.2,70.2,70.2,77.95,1263867,18-MAR-2020
DELTACORP,EQ,85.05,90.0,77.1,77.95,77.95,85.65,2008231,17-MAR-2020
DELTACORP,EQ,85.0,95.9,84.35,85.65,85.55,91.5,1816940,16-MAR-2020
DELTACORP,EQ,85.0,97.0,77.05,91.5,92.25,96.3,2309784,13-MAR-2020
DELTACORP,EQ,104.9,105.0,93.15,96.3,95.65,114.4,2850688,12-MAR-2020
DELTACORP,EQ,121.0,124.25,112.0,114.4,112.2,120.6,1255618,11-MAR-2020
DELTACORP,EQ,114.0,124.7,104.8,120.6,118.0,119.15,4275990,09-MAR-2020
DELTACORP,EQ,114.0,121.95,114.0,119.15,118.55,126.5,1330863,06-MAR-2020
DELTACORP,EQ,126.5,131.1,124.2,126.5,126.2,125.7,1426241,05-MAR-2020
DELTACORP,EQ,133.0,134.0,122.25,125.7,127.6,132.05,1690838,04-MAR-2020
DELTACORP,EQ,128.0,133.5,122.55,132.05,133.0,126.1,1315871,03-MAR-2020
DELTACORP,EQ,138.05,141.55,121.1,126.1,124.0,134.45,1034311,02-MAR-2020
DELTACORP,EQ,143.5,143.5,129.1,134.45,134.8,146.0,3609979,28-FEB-2020
DELTACORP,EQ,154.0,154.8,145.0,146.0,146.5,154.4,1996041,27-FEB-2020
DELTACORP,EQ,153.0,157.6,151.05,154.4,156.0,153.6,1333652,26-FEB-2020
DELTACORP,EQ,156.0,159.2,152.0,153.6,154.0,155.05,1460744,25-FEB-2020
DELTACORP,EQ,155.9,163.0,153.1,155.05,154.8,156.3,4746534,24-FEB-2020
DELTACORP,EQ,149.0,159.3,148.4,156.3,156.2,148.4,3076599,20-FEB-2020
DELTACORP,EQ,150.4,151.45,147.8,148.4,148.0,149.9,986785,19-FEB-2020
DELTACORP,EQ,156.1,156.3,146.5,149.9,149.0,156.05,1412806,18-FEB-2020
DELTACORP,EQ,161.0,161.2,154.3,156.05,155.75,161.25,765517,17-FEB-2020
DELTACORP,EQ,165.6,165.6,160.25,161.25,160.45,165.0,620470,14-FEB-2020
DELTACORP,EQ,169.0,169.6,164.0,165.0,165.0,168.8,631440,13-FEB-2020
DELTACORP,EQ,170.45,172.0,167.4,168.8,168.05,171.1,590258,12-FEB-2020
DELTACORP,EQ,167.2,175.05,165.7,171.1,170.25,165.95,2110082,11-FEB-2020
DELTACORP,EQ,169.0,169.45,164.3,165.95,166.0,168.6,693098,10-FEB-2020
