SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DHANUKA,EQ,321.0,343.95,311.4,323.05,324.0,319.0,32317,20-MAR-2020
DHANUKA,EQ,314.0,348.05,301.0,319.0,320.0,314.4,43409,19-MAR-2020
DHANUKA,EQ,321.0,334.55,302.25,314.4,321.0,325.15,25704,18-MAR-2020
DHANUKA,EQ,323.1,350.0,320.0,325.15,325.0,333.35,28836,17-MAR-2020
DHANUKA,EQ,318.1,344.0,312.25,333.35,333.0,346.15,39931,16-MAR-2020
DHANUKA,EQ,333.6,359.75,283.0,346.15,347.0,351.6,84532,13-MAR-2020
DHANUKA,EQ,375.1,394.95,342.0,351.6,342.0,412.45,69783,12-MAR-2020
DHANUKA,EQ,427.75,427.75,408.05,412.45,408.05,420.75,14344,11-MAR-2020
DHANUKA,EQ,432.0,439.5,404.0,420.75,418.0,443.75,34212,09-MAR-2020
DHANUKA,EQ,457.0,459.15,431.45,443.75,440.0,466.85,22380,06-MAR-2020
DHANUKA,EQ,449.95,477.0,441.25,466.85,475.0,448.3,25703,05-MAR-2020
DHANUKA,EQ,455.0,474.75,429.25,448.3,447.0,455.3,22184,04-MAR-2020
DHANUKA,EQ,470.0,470.0,451.3,455.3,455.0,460.15,18676,03-MAR-2020
DHANUKA,EQ,469.0,480.1,453.05,460.15,458.15,469.25,24757,02-MAR-2020
DHANUKA,EQ,489.95,489.95,455.6,469.25,480.0,495.95,31362,28-FEB-2020
DHANUKA,EQ,486.0,510.0,401.15,495.95,504.3,485.2,152979,27-FEB-2020
DHANUKA,EQ,490.05,500.4,480.1,485.2,485.0,495.75,48475,26-FEB-2020
DHANUKA,EQ,509.0,510.55,490.0,495.75,495.05,510.55,37003,25-FEB-2020
DHANUKA,EQ,519.0,534.5,500.1,510.55,510.0,516.5,35011,24-FEB-2020
DHANUKA,EQ,521.5,525.0,511.6,516.5,515.7,515.05,25655,20-FEB-2020
DHANUKA,EQ,516.1,527.7,508.35,515.05,515.0,517.35,22222,19-FEB-2020
DHANUKA,EQ,520.05,524.85,505.1,517.35,515.2,525.55,24687,18-FEB-2020
DHANUKA,EQ,532.35,532.35,512.6,525.55,525.0,532.35,42882,17-FEB-2020
DHANUKA,EQ,535.25,543.4,522.0,532.35,530.15,530.25,66322,14-FEB-2020
DHANUKA,EQ,522.0,564.9,515.0,530.25,530.45,521.8,419883,13-FEB-2020
DHANUKA,EQ,527.0,535.5,515.2,521.8,519.5,526.8,47944,12-FEB-2020
DHANUKA,EQ,518.05,532.4,505.0,526.8,525.25,518.15,53271,11-FEB-2020
DHANUKA,EQ,505.05,524.0,500.1,518.15,518.1,505.05,20570,10-FEB-2020
