SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DIAPOWER,BZ,0.45,0.45,0.4,0.4,0.4,0.4,57735,20-MAR-2020
DIAPOWER,BZ,0.45,0.45,0.35,0.4,0.4,0.4,2353,19-MAR-2020
DIAPOWER,BZ,0.3,0.4,0.3,0.4,0.4,0.35,33726,18-MAR-2020
DIAPOWER,BZ,0.35,0.45,0.35,0.35,0.35,0.4,3650,17-MAR-2020
DIAPOWER,BZ,0.3,0.4,0.3,0.4,0.4,0.35,10477,16-MAR-2020
DIAPOWER,BZ,0.25,0.35,0.25,0.35,0.35,0.3,15710,13-MAR-2020
DIAPOWER,BZ,0.3,0.3,0.3,0.3,0.3,0.35,51850,12-MAR-2020
DIAPOWER,BZ,0.3,0.35,0.3,0.35,0.35,0.35,5703,11-MAR-2020
DIAPOWER,BZ,0.35,0.4,0.35,0.35,0.35,0.4,8458,09-MAR-2020
DIAPOWER,BZ,0.45,0.45,0.4,0.4,0.4,0.45,11458,06-MAR-2020
DIAPOWER,BZ,0.4,0.45,0.4,0.45,0.45,0.4,1238,05-MAR-2020
DIAPOWER,BZ,0.3,0.4,0.3,0.4,0.4,0.35,4653,03-MAR-2020
DIAPOWER,BZ,0.35,0.4,0.35,0.35,0.35,0.35,2556,02-MAR-2020
DIAPOWER,BZ,0.35,0.35,0.35,0.35,0.35,0.4,992,28-FEB-2020
DIAPOWER,BZ,0.35,0.4,0.35,0.4,0.4,0.35,2243,27-FEB-2020
DIAPOWER,BZ,0.4,0.4,0.35,0.35,0.35,0.4,9571,26-FEB-2020
DIAPOWER,BZ,0.35,0.4,0.35,0.4,0.4,0.4,31031,25-FEB-2020
DIAPOWER,BZ,0.4,0.4,0.35,0.4,0.4,0.4,6050,24-FEB-2020
DIAPOWER,BZ,0.45,0.45,0.4,0.4,0.4,0.4,775,20-FEB-2020
DIAPOWER,BZ,0.45,0.45,0.4,0.4,0.4,0.45,1496,19-FEB-2020
DIAPOWER,BZ,0.45,0.45,0.45,0.45,0.45,0.45,9,18-FEB-2020
DIAPOWER,BZ,0.55,0.55,0.45,0.45,0.45,0.5,1058,17-FEB-2020
DIAPOWER,BZ,0.45,0.55,0.45,0.5,0.55,0.5,3041,14-FEB-2020
DIAPOWER,BZ,0.55,0.55,0.5,0.5,0.5,0.55,1200,13-FEB-2020
DIAPOWER,BZ,0.55,0.55,0.5,0.55,0.55,0.55,1118,12-FEB-2020
DIAPOWER,BZ,0.5,0.55,0.5,0.55,0.55,0.5,1114,11-FEB-2020
DIAPOWER,BZ,0.45,0.5,0.45,0.5,0.5,0.45,1153,10-FEB-2020
