SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
DNAMEDIA,EQ,0.3,0.3,0.25,0.3,0.3,0.3,23571,20-MAR-2020
DNAMEDIA,EQ,0.25,0.3,0.25,0.3,0.25,0.25,51011,19-MAR-2020
DNAMEDIA,EQ,0.25,0.3,0.25,0.25,0.25,0.25,17632,18-MAR-2020
DNAMEDIA,EQ,0.25,0.35,0.25,0.25,0.25,0.3,41791,17-MAR-2020
DNAMEDIA,EQ,0.3,0.35,0.25,0.3,0.25,0.3,16832,16-MAR-2020
DNAMEDIA,EQ,0.35,0.35,0.25,0.3,0.3,0.3,29121,13-MAR-2020
DNAMEDIA,EQ,0.3,0.35,0.25,0.3,0.25,0.3,61114,12-MAR-2020
DNAMEDIA,EQ,0.3,0.35,0.3,0.3,0.3,0.3,17258,11-MAR-2020
DNAMEDIA,EQ,0.3,0.35,0.3,0.3,0.3,0.3,43396,09-MAR-2020
DNAMEDIA,EQ,0.35,0.4,0.3,0.3,0.3,0.35,140815,06-MAR-2020
DNAMEDIA,EQ,0.35,0.35,0.3,0.35,0.35,0.3,1266,05-MAR-2020
DNAMEDIA,EQ,0.35,0.35,0.3,0.3,0.3,0.3,26651,04-MAR-2020
DNAMEDIA,BE,0.35,0.35,0.3,0.3,0.3,0.3,20035,03-MAR-2020
DNAMEDIA,BE,0.4,0.4,0.3,0.3,0.4,0.35,34010,02-MAR-2020
DNAMEDIA,BE,0.3,0.35,0.3,0.35,0.35,0.3,42018,28-FEB-2020
DNAMEDIA,BE,0.3,0.35,0.3,0.3,0.35,0.3,53577,27-FEB-2020
DNAMEDIA,BE,0.3,0.35,0.3,0.3,0.3,0.35,7124,26-FEB-2020
DNAMEDIA,BE,0.3,0.35,0.3,0.35,0.3,0.3,41060,25-FEB-2020
DNAMEDIA,BE,0.35,0.35,0.3,0.3,0.35,0.35,68080,24-FEB-2020
DNAMEDIA,BE,0.35,0.4,0.35,0.35,0.4,0.4,3010,20-FEB-2020
DNAMEDIA,BE,0.35,0.4,0.35,0.4,0.4,0.4,5417,19-FEB-2020
DNAMEDIA,BE,0.35,0.4,0.35,0.4,0.35,0.35,8857,18-FEB-2020
DNAMEDIA,BE,0.4,0.4,0.35,0.35,0.35,0.4,25403,17-FEB-2020
DNAMEDIA,BE,0.4,0.4,0.35,0.4,0.4,0.4,3431,14-FEB-2020
DNAMEDIA,BE,0.45,0.45,0.4,0.4,0.4,0.45,1171,13-FEB-2020
DNAMEDIA,BE,0.4,0.45,0.4,0.45,0.45,0.4,1977,12-FEB-2020
DNAMEDIA,BE,0.45,0.45,0.35,0.4,0.4,0.4,4446,11-FEB-2020
DNAMEDIA,BE,0.4,0.45,0.4,0.4,0.4,0.4,22386,10-FEB-2020
